edited;formula;type;is_artificial
Laburnum × watereri (Wettst.) Dippel;Laburnum anagyroides × Laburnum alpinum;name;FALSE
Larix × marschlinsii Coaz;Larix decidua × Larix kaempferi;name;FALSE
Lavandula × intermedia Loisel.;Lavandula angustifolia × Lavandula latifolia;name;FALSE
Leucanthemum × superbum;Leucanthemum lacustre × Leucanthemum maximum;name;FALSE
Linaria × cornubiensis Druce;Linaria repens × Linaria supina;name;FALSE
Linaria × dominii Druce;Linaria purpurea × Linaria repens;name;FALSE
Linaria × sepium J.G. Allman;Linaria vulgaris × Linaria repens;name;FALSE
Lolium × boucheanum Kunth;Lolium perenne × Lolium multiflorum;name;FALSE
Lonicera × italica Schmidt ex Tausch;Lonicera caprifolium × Lonicera etrusca;name;FALSE
Lupinus arboreus × nootkatensis × polyphyllus;Lupinus arboreus × Lupinus nootkatensis × Lupinus polyphyllus;formula;FALSE
Lupinus × pseudopolyphyllus C.P. Sm.;Lupinus polyphyllus × Lupinus nootkatensis;name;FALSE
Lupinus × regalis Bergmans;Lupinus arboreus × Lupinus polyphyllus;name;FALSE
Macleaya × kewensis Turrill;Macleaya cordata × Macleaya microcarpa;name;FALSE
Mahonia × decumbens Stace;Mahonia aquifolium × Mahonia repens;name;FALSE
Malus × purpurea (E. Barbier) Rehder;Malus atrosanguinea × Malus niedzwetzkyana;name;FALSE
Mentha × gracilis Sole;Mentha arvensis × Mentha spicata;name;FALSE
Mentha × piperita L.;Mentha aquatica × Mentha spicata;name;FALSE
Mentha × rotundifolia (L.) Huds.;Mentha suaveolens × Mentha longifolia;name;FALSE
Mentha × smithiana R.A. Graham;Mentha arvensis × Mentha aquatica × Mentha spicata;name;FALSE
Mentha × verticillata L.;Mentha arvensis × Mentha aquatica;name;FALSE
Mentha × villosa Huds;Mentha spicata × Mentha suaveolens;name;FALSE
Mentha × villosonervata Opiz;Mentha spicata × Mentha longifolia;name;FALSE
Mimulus guttatus × luteus × cupreus;Mimulus guttatus × Mimulus luteus × Mimulus cupreus;formula;FALSE
Mimulus × burnetii S. Arn.;Mimulus guttatus × Mimulus cupreus;name;FALSE
Mimulus × maculosus T. Moore;Mimulus luteus × Mimulus cupreus;name;FALSE
Mimulus × robertsii Silverside;Mimulus guttatus × Mimulus luteus;name;FALSE
Narcissus × incomparabilis Mill.;Narcissus poeticus × Narcissus pseudonarcissus;name;FALSE
Narcissus × medioluteus Mill.;Narcissus tazetta × Narcissus poeticus;name;FALSE
Narcissus × monochromus P.D. Sell;Narcissus pseudonarcissus × Narcissus cyclamineus;name;FALSE
