verbatim;type;edited;edited2;edited3;source;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Colutea x media Willd.;name;Colutea × media Willd.;Colutea ×media Willd.;Colutea × media;ecoflora;2956441;2956441;Colutea arborescens;Colutea orientalis;7844167;7844167;2956442;2956442
Conyza canadensis x bonariensis;formula;Conyza canadensis × bonariensis;Conyza canadensis × bonariensis;NA;ecoflora;NA;NA;Conyza canadensis;Conyza bonariensis;5404801;3146791;5404795;3146717
Corylus avellana x maxima;formula;Corylus avellana × maxima;Corylus avellana × maxima;NA;ecoflora;NA;NA;Corylus avellana;Corylus maxima;2875979;2875979;2876049;2876049
Cotoneaster x suecicus G. Klotz;name;Cotoneaster × suecicus G. Klotz;Cotoneaster ×suecicus G. Klotz;Cotoneaster × suecicus;ecoflora;3026040;3026040;Cotoneaster dammeri;Cotoneaster conspicuus;3026049;3026049;7977854;7977854
Cotoneaster x watereri Exell;name;Cotoneaster × watereri Exell;Cotoneaster ×watereri Exell;Cotoneaster × watereri;ecoflora;3026004;3026004;Cotoneaster frigidus;Cotoneaster salicifolius;7671195;7671195;3026074;3026074
Crataegus monogyna x heterophylla;formula;Crataegus monogyna × heterophylla;Crataegus monogyna × heterophylla;NA;ecoflora;NA;NA;Crataegus monogyna;Crataegus heterophylla;9220780;9220780;8031653;8031653
Crocosmia x crocosmiiflora (Lemoine) N.E. Br.;name;Crocosmia × crocosmiiflora (Lemoine) N.E. Br.;Crocosmia ×crocosmiiflora (Lemoine) N.E. Br.;Crocosmia × crocosmiiflora;ecoflora;2747939;2747939;Crocosmia potsii;Crocosmia aurea;2747959;2747959;2747948;2747948
Crocus chrysanthus x biflorus;formula;Crocus chrysanthus × biflorus;Crocus chrysanthus × biflorus;NA;ecoflora;NA;NA;Crocus chrysanthus;Crocus biflorus;2747489;2747489;2747340;2747340
Crocus vernus x tommasinianus;formula;Crocus vernus × tommasinianus;Crocus vernus × tommasinianus;NA;ecoflora;NA;NA;Crocus vernus;Crocus tommasinianus;2747567;2747567;2747564;2747564
Crocus x stellaris Haw.;name;Crocus × stellaris Haw.;Crocus ×stellaris Haw.;Crocus × stellaris;ecoflora;3586380;2747750;Crocus angustifolius;Crocus flavus;2747704;2747704;2747737;2747737
Dianthus caryophyllus x plumarius;formula;Dianthus caryophyllus × plumarius;Dianthus caryophyllus × plumarius;NA;ecoflora;NA;NA;Dianthus caryophyllus;Dianthus plumarius;3085420;3085420;3085412;3085412
Dianthus gratianopolitanus x caryophyllus;formula;Dianthus gratianopolitanus × caryophyllus;Dianthus gratianopolitanus × caryophyllus;NA;ecoflora;NA;NA;Dianthus gratianopolitanus;Dianthus caryophyllus;6364219;6364219;3085420;3085420
Dianthus gratianopolitanus x plumarius;formula;Dianthus gratianopolitanus × plumarius;Dianthus gratianopolitanus × plumarius;NA;ecoflora;NA;NA;Dianthus gratianopolitanus;Dianthus plumarius;6364219;6364219;3085412;3085412
Dipsacus fullonum x sativus;formula;Dipsacus fullonum × sativus;Dipsacus fullonum × sativus;NA;ecoflora;NA;NA;Dipsacus fullonum;Dipsacus sativus;8435025;8435025;2888816;2888816
Dipsacus x pseudosilvester Schur;name;Dipsacus × pseudosilvester Schur;Dipsacus ×pseudosilvester Schur;Dipsacus × pseudosilvester;ecoflora;11698887;11698887;Dipsacus fullonum;Dipsacus laciniatus;8435025;8435025;2888814;2888814
Doronicum x willdenowii (Rouy) A.W. Hill;name;Doronicum × willdenowii (Rouy) A.W. Hill;Doronicum ×willdenowii (Rouy) A.W. Hill;Doronicum × willdenowii;ecoflora;4230874;4230874;Doronicum pardalianches;Doronicum plantagineum;3142951;3142951;8340385;8340385
Epilobium ciliatum x lanceolatum;formula;Epilobium ciliatum × lanceolatum;Epilobium ciliatum × lanceolatum;NA;ecoflora;NA;NA;Epilobium ciliatum;Epilobium lanceolatum;9188840;9188840;6427899;6427899
Epilobium x brunnatum Kitchener & McKean;name;Epilobium × brunnatum Kitchener & McKean;Epilobium ×brunnatum Kitchener & McKean;Epilobium × brunnatum;ecoflora;3667256;3667256;Epilobium ciliatum;Epilobium brunnescens;9188840;9188840;7322764;7322764
Epilobium x chateri Kitchener & McKean;name;Epilobium × chateri Kitchener & McKean;Epilobium ×chateri Kitchener & McKean;Epilobium × chateri;ecoflora;3666958;3666958;Epilobium palustre;Epilobium brunnescens;3189080;3189080;7322764;7322764
Epilobium x confusilobum Kitchener & McKean;name;Epilobium × confusilobum Kitchener & McKean;Epilobium ×confusilobum Kitchener & McKean;Epilobium × confusilobum;ecoflora;3666711;3666711;Epilobium montanum;Epilobium brunnescens;3664083;3664083;7322764;7322764
Epilobium x floridulum Smejkal;name;Epilobium × floridulum Smejkal;Epilobium ×floridulum Smejkal;Epilobium × floridulum;ecoflora;3665966;3665966;Epilobium parviflorum;Epilobium ciliatum;3189157;3189157;9188840;9188840
Epilobium x fossicola Smejkal;name;Epilobium × fossicola Smejkal;Epilobium ×fossicola Smejkal;Epilobium × fossicola;ecoflora;3665907;3665907;Epilobium ciliatum;Epilobium palustre;9188840;9188840;3189080;3189080
Epilobium x interjectum Smejkal;name;Epilobium × interjectum Smejkal;Epilobium ×interjectum Smejkal;Epilobium × interjectum;ecoflora;3665061;3665061;Epilobium montanum;Epilobium ciliatum;3664083;3664083;9188840;9188840
Epilobium x mentiens Smejkal;name;Epilobium × mentiens Smejkal;Epilobium ×mentiens Smejkal;Epilobium × mentiens;ecoflora;3664293;3664293;Epilobium tetragonum;Epilobium ciliatum;7322563;7322563;9188840;9188840
Epilobium x novae-civitatis Smejkal;name;Epilobium × novae-civitatis Smejkal;Epilobium ×novae-civitatis Smejkal;Epilobium × novae;ecoflora;7595738;7595738;Epilobium hirsutum;Epilobium ciliatum;3189172;3189172;9188840;9188840
Epilobium x nutantiflorum Smejkal;name;Epilobium × nutantiflorum Smejkal;Epilobium ×nutantiflorum Smejkal;Epilobium × nutantiflorum;ecoflora;3663762;3663762;Epilobium roseum;Epilobium ciliatum;3666800;3666800;9188840;9188840
Epilobium x obscurescens Kitchener & McKean;name;Epilobium × obscurescens Kitchener & McKean;Epilobium ×obscurescens Kitchener & McKean;Epilobium × obscurescens;ecoflora;3667871;3667871;Epilobium obscurum;Epilobium brunnescens;3189152;3189152;7322764;7322764
Epilobium x vicinum;name;Epilobium × vicinum;Epilobium ×vicinum;Epilobium × vicinum;ecoflora;3665710;3665710;Epilobium obscurum;Epilobium ciliatum;3189152;3189152;9188840;9188840
Erica x darleyensis Bean;name;Erica × darleyensis Bean;Erica ×darleyensis Bean;Erica × darleyensis;ecoflora;7327719;7327719;Erica erigena;Erica carnea;7327590;7327590;5682465;5682465
Erysimum x marshallii (Henfr.) Bois;name;Erysimum × marshallii (Henfr.) Bois;Erysimum ×marshallii (Henfr.) Bois;Erysimum × marshallii;ecoflora;3048532;3048532;Erysimum decumbens;Erysimum perofskianum;NA;NA;3048131;3048131
Euphorbia x gayeri Boros & Soó;name;Euphorbia × gayeri Boros & Soó;Euphorbia ×gayeri Boros & Soó;Euphorbia × gayeri;ecoflora;7849675;7849675;Euphorbia cyparissias;Euphorbia waldsteinii;3070106;3070106;3064275;7402123
Euphorbia x pseudoesula Schur;name;Euphorbia × pseudoesula Schur;Euphorbia ×pseudoesula Schur;Euphorbia × pseudoesula;ecoflora;3068528;3068528;Euphorbia esula;Euphorbia cyparissias;8203538;8203538;3070106;3070106
Euphorbia x pseudovirgata (Schur) Soó;name;Euphorbia × pseudovirgata (Schur) Soó;Euphorbia ×pseudovirgata (Schur) Soó;Euphorbia × pseudovirgata;ecoflora;3064268;7402123;Euphorbia esula;Euphorbia waldsteinii;8203538;8203538;3064275;7402123
Fallopia x bohemica (Chrtek & Chrtková) J.P. Bailey;name;Fallopia × bohemica (Chrtek & Chrtková) J.P. Bailey;Fallopia ×bohemica (Chrtek & Chrtková) J.P. Bailey;Fallopia × bohemica;ecoflora;5652296;4038485;Fallopia japonica;Fallopia sachalinensis;5334357;2889173;5334293;2889088
Fallopia x conollyana J.P. Bailey;name;Fallopia × conollyana J.P. Bailey;Fallopia ×conollyana J.P. Bailey;Fallopia × conollyana;ecoflora;5652288;4038524;Fallopia japonica;Fallopia baldschuanica;5334357;2889173;5334351;5334351
Festuca arundinacea x Lolium multiflorum;formula;Festuca arundinacea × Lolium multiflorum;Festuca arundinacea × Lolium multiflorum;NA;ecoflora;NA;NA;Festuca arundinacea;Lolium multiflorum;NA;NA;4129708;4129708
