key;accepted;kingdom;scientificName;speciesKey
10476673;NA;Plantae;Ophrys apifera x Ophrys provincialis;10476673
10476859;NA;Plantae;Dianthus caryophyllus x Dianthus gratianopolitanus;10476859
10477517;NA;Plantae;Salix cinerea subsp. cinerea x myrsinifolia;10477517
10082122;Carex flava × lepidocarpa subsp. lepidocarpa;Plantae;Carex flava x lepidocarpa subsp. lepidocarpa;10477898
10205622;Carex flava × lepidocarpa subsp. lepidocarpa;Plantae;Carex flava × lepidocarpa ssp. lepidocarpa;10477898
10477898;NA;Plantae;Carex flava × lepidocarpa subsp. lepidocarpa;10477898
10602026;Carex flava × lepidocarpa subsp. lepidocarpa;Plantae;Carex flava x lepidocarpa ssp. lepidocarpa;10477898
9838949;Draba incana × norvegica;Plantae;Draba incana x norvegica;10477999
10477999;NA;Plantae;Draba incana × norvegica;10477999
10478135;NA;Plantae;Viola macloskeyi × Viola renifolia;10478135
10205339;Rosa mollis × spinosissima;Plantae;Rosa mollis x spinosissima;10478197
10478197;NA;Plantae;Rosa mollis × spinosissima;10478197
10478614;NA;Plantae;Microlepia marginata x strigosa;10478614
10478657;NA;Plantae;Lolium perenne x Schedonorus pratensis;10478657
10499012;Lolium perenne x Schedonorus pratensis;Plantae;Festuca pratensis x Lolium perenne;10478657
10478746;NA;Plantae;Eriophorum angustifolium x latifolium;10478746
10204400;Abies balsamea × sibirica;Plantae;Abies balsamea x sibirica;10479128
10479128;NA;Plantae;Abies balsamea × sibirica;10479128
10479516;NA;Plantae;Rosa arvensis x gallica;10479516
9840897;Salix herbacea × myrsinites;Plantae;Salix herbacea x myrsinites;10479992
10479992;NA;Plantae;Salix herbacea × myrsinites;10479992
10202112;Cerastium glutinosum × subtetrandrum;Plantae;Cerastium glutinosum x subtetrandrum;10481377
10481377;NA;Plantae;Cerastium glutinosum × subtetrandrum;10481377
10481408;NA;Plantae;Viola canina x pumila;10481408
10481476;NA;Plantae;Gentianella campestris x germanica;10481476
9842394;Solidago gigantea × virgaurea;Plantae;Solidago gigantea ssp. serotina x virgaurea;10481511
10051379;Solidago gigantea × virgaurea;Plantae;Solidago gigantea subsp. serotina x virgaurea;10481511
10236569;Solidago gigantea × virgaurea;Plantae;Solidago gigantea subsp. serotina × virgaurea;10481511
10446821;Solidago gigantea × virgaurea;Plantae;Solidago gigantea x virgaurea;10481511
10481511;NA;Plantae;Solidago gigantea × virgaurea;10481511
10633054;Solidago gigantea × virgaurea;Plantae;Solidago gigantea ssp. serotina × virgaurea;10481511
10481959;NA;Plantae;Potamogeton natans x nodosus;10481959
10201357;Salix hastata × lapponum;Plantae;Salix hastata x lapponum;10482155
10482155;NA;Plantae;Salix hastata × lapponum;10482155
10482642;NA;Plantae;Calceolaria perfoliata x calycina;10482642
10482691;NA;Plantae;Viola reichenbachiana x riviniana x rupestris;10482691
10200596;Galeopsis bifida × tetrahit;Plantae;Galeopsis bifida x tetrahit;10482909
10482909;NA;Plantae;Galeopsis bifida × tetrahit;10482909
9845089;Carex magellanica × rariflora;Plantae;Carex magellanica ssp. irrigua × rariflora;10484247
10048661;Carex magellanica × rariflora;Plantae;Carex magellanica subsp. irrigua x rariflora;10484247
10239284;Carex magellanica × rariflora;Plantae;Carex magellanica x rariflora;10484247
10444084;Carex magellanica × rariflora;Plantae;Carex magellanica subsp. irrigua × rariflora;10484247
10484247;NA;Plantae;Carex magellanica × rariflora;10484247
10635821;Carex magellanica × rariflora;Plantae;Carex magellanica ssp. irrigua x rariflora;10484247
10484434;NA;Plantae;Primula elatior × veris;10484434
9845862;Woodsia alpina × ilvensis;Plantae;Woodsia alpina x ilvensis;10485015
10485015;NA;Plantae;Woodsia alpina × ilvensis;10485015
10198138;Epilobium adenocaulon × obscurum;Plantae;Epilobium adenocaulon x obscurum;10485361
10485361;NA;Plantae;Epilobium adenocaulon × obscurum;10485361
10485840;NA;Plantae;Primula latifolia x Primula marginata;10485840
10197390;Draba alpina × oxycarpa;Plantae;Draba alpina x oxycarpa;10486128
10486128;NA;Plantae;Draba alpina × oxycarpa;10486128
10197214;Carex maritima × parallela;Plantae;Carex maritima x parallela;10486300
10486300;NA;Plantae;Carex maritima × parallela;10486300
10196932;Rosa majalis × rugosa;Plantae;Rosa majalis x rugosa;10486572
10486572;NA;Plantae;Rosa majalis × rugosa;10486572
10486610;NA;Plantae;Soldanella minima x pusilla subsp. alpicola;10486610
9848296;Sparganium gramineum × natans;Plantae;Sparganium gramineum x natans;10487449
10487449;NA;Plantae;Sparganium gramineum × natans;10487449
10488002;NA;Animalia;Rhopalosiphum sp. X IL-2007;10488002
10195243;Carex cespitosa × vacillans;Plantae;Carex cespitosa x vacillans;10488288
10488288;NA;Plantae;Carex cespitosa × vacillans;10488288
10092773;Malus domestica × sylvestris;Plantae;Malus domestica x sylvestris;10488587
10194957;Malus domestica × sylvestris;Plantae;Malus pumila × sylvestris;10488587
10488587;NA;Plantae;Malus domestica × sylvestris;10488587
10591265;Malus domestica × sylvestris;Plantae;Malus pumila x sylvestris;10488587
10489072;NA;Plantae;Cirsium oleraceum x tuberosum;10489072
9950391;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;Plantae;Dactylorhiza incarnata var. cruenta × majalis ssp. lapponica;10489504
10093695;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;Plantae;Dactylorhiza incarnata var. cruenta x majalis ssp. lapponica;10489504
10194021;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;Plantae;Dactylorhiza incarnata var. cruenta x traunsteineri;10489504
10337926;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;Plantae;Dactylorhiza incarnata var. cruenta × lapponica;10489504
10345055;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;Plantae;Dactylorhiza incarnata var. cruenta × traunsteineri;10489504
10489504;NA;Plantae;Dactylorhiza incarnata var. cruenta × majalis subsp. lapponica;10489504
