verbatim;parent;type;edited;source
Ilex ×altaclerensis;Ilex aquifolium;name;Ilex ×altaclerensis;wikidata
Berberis ×hybrido-gagnepainii;Berberis verruculosa;name;Berberis ×hybrido-gagnepainii;wikidata
Rubus ×castoreus;Rubus arcticus;name;Rubus ×castoreus;wikidata
Cornus ×elwinortonii;Cornus nuttallii;name;Cornus ×elwinortonii;wikidata
Betula ×jackii;Betula lenta;name;Betula ×jackii;wikidata
Annona ×atemoya;Annona squamosa;name;Annona ×atemoya;wikidata
Brachychiton ×vinicolor;Brachychiton discolor;name;Brachychiton ×vinicolor;wikidata
Stapelia meintjesii;Stapelia gigantea;name;Stapelia meintjesii;wikidata
Scolymus ×castaneus;Scolymus maculatus;name;Scolymus ×castaneus;wikidata
Arbutus × andrachnoides;Arbutus unedo;name;Arbutus ×andrachnoides;wikidata
Aeonium ×anagense;Aeonium lindleyi;name;Aeonium ×anagense;wikidata
Ambrosia platyspina;Ambrosia dumosa;name;Ambrosia platyspina;wikidata
Betula ×jackii;Betula pumila;name;Betula ×jackii;wikidata
Spiranthes × simpsonii;Spiranthes romanzoffiana;name;Spiranthes ×simpsonii;wikidata
Crocus × paulineae;Crocus ancyrensis;name;Crocus ×paulineae;wikidata
Colchicum ×agrippinum;Colchicum variegatum;name;Colchicum ×agrippinum;wikidata
Tsuga jeffreyi;Tsuga mertensiana;name;Tsuga jeffreyi;wikidata
Viola mirabilis × reichenbachiana;Viola reichenbachiana;name;Viola mirabilis × reichenbachiana;wikidata
Disa ×vogelpoelii;Disa graminifolia;name;Disa ×vogelpoelii;wikidata
Eucalyptus erythrandra;Eucalyptus tetraptera;name;Eucalyptus erythrandra;wikidata
Sempervivum ×morellianum;Sempervivum calcareum;name;Sempervivum ×morellianum;wikidata
Dombeya cayeuxii;Dombeya wallichii;name;Dombeya cayeuxii;wikidata
Rosa × micrugosa;Rosa rugosa;name;Rosa ×micrugosa;wikidata
Cornus ×elwinortonii;Cornus kousa;name;Cornus ×elwinortonii;wikidata
Cornus ×rutgersensis;Cornus kousa;name;Cornus ×rutgersensis;wikidata
Asimina ×nashii;Asimina longifolia;name;Asimina ×nashii;wikidata
Pinus ×holfordiana;Pinus wallichiana;name;Pinus ×holfordiana;wikidata
Cistus × purpureus;Cistus ladanifer;name;Cistus ×purpureus;wikidata
Cistus dansereaui;Cistus ladanifer;name;Cistus dansereaui;wikidata
Cistus aguilari;Cistus ladanifer;name;Cistus aguilari;wikidata
Cistus stenophyllus;Cistus ladanifer;name;Cistus stenophyllus;wikidata
Cistus verguinii;Cistus ladanifer;name;Cistus verguinii;wikidata
Cistus cyprius;Cistus ladanifer;name;Cistus cyprius;wikidata
Cistus matritensis;Cistus ladanifer;name;Cistus matritensis;wikidata
Cistus rodiei;Cistus ladanifer;name;Cistus rodiei;wikidata
Cistus neyrauti;Cistus ladanifer;name;Cistus neyrauti;wikidata
Cistus fernandesiae;Cistus ladanifer;name;Cistus fernandesiae;wikidata
Cistus hetieri;Cistus ladanifer;name;Cistus hetieri;wikidata
Cistus curvativus;Cistus ladanifer;name;Cistus curvativus;wikidata
Cistus ×lepidocalyx;Cistus ladanifer;name;Cistus ×lepidocalyx;wikidata
Cistus ×porphyreus;Cistus ladanifer;name;Cistus ×porphyreus;wikidata
Magnolia × soulangeana;Magnolia denudata;name;Magnolia ×soulangeana;wikidata
Cistus banaresii;Cistus symphytifolius;name;Cistus banaresii;wikidata
Cistus ralletii;Cistus symphytifolius;name;Cistus ralletii;wikidata
Cistus ×chnoodophyllus;Cistus symphytifolius;name;Cistus ×chnoodophyllus;wikidata
Cistus ×oxyphyllus;Cistus symphytifolius;name;Cistus ×oxyphyllus;wikidata
Arum sooi;Arum maculatum;name;Arum sooi;wikidata
Pinus ×densithunbergii;Pinus thunbergii;name;Pinus ×densithunbergii;wikidata
Cornus ×rutgersensis;Cornus florida;name;Cornus ×rutgersensis;wikidata
Convolvulus × despreauxii;Convolvulus floridus;name;Convolvulus ×despreauxii;wikidata
Cistus × purpureus;Cistus creticus;name;Cistus ×purpureus;wikidata
Cistus conradiae;Cistus creticus;name;Cistus conradiae;wikidata
Cistus strigosus;Cistus creticus;name;Cistus strigosus;wikidata
Cistus sammonsii;Cistus creticus;name;Cistus sammonsii;wikidata
Cistus olivaceus;Cistus creticus;name;Cistus olivaceus;wikidata
Cistus gardianus;Cistus creticus;name;Cistus gardianus;wikidata
Cistus ralletii;Cistus creticus;name;Cistus ralletii;wikidata
Cistus ×argenteus;Cistus creticus;name;Cistus ×argenteus;wikidata
