hybrid;parent1;parent2;usageKey;parent_usageKey1;parent_usageKey2
Cornus ×rutgersensis Mattera, T.Molnar & Struwe;Cornus florida L.;Cornus kousa Bürger ex Hance;9350198;3082240;3082274
Cornus alba subsp. stolonifera (Michx.) Wangerin;Cornus alba L.;Cornus stolonifera Michx.;3663343;8365953;6427418
Corybas ×halleanus E.Faria;Corybas echinulus E.Faria;Corybas pignalii E.Faria;10788447;10723328;10672202
Corybas ×miscellus D.L.Jones;Corybas diemenicus (Lindl.) Rupp;Corybas incurvus D.L.Jones & M.A.Clem.;5307683;5307567;5307591
Corydalis ×hybrida Mikhailova;Corydalis bracteata (Steph.) Pers.;Corydalis solida Sw., 1819;5531318;5531213;7390575
Corydalis cava subsp. marschalliana (Willd.) Hayek;Corydalis cava (L.) Schweigg. & Körte;Corydalis marschalliana (Willd.) Pers.;7948263;5530881;5530670
Corydalis cava x solida;Corydalis cava (L.) Schweigg. & Körte;Corydalis solida (L.) Clairv.;10277410;5530881;5334208
Corylus avellana var. maxima Audib.;Corylus avellana L.;Corylus maxima Mill.;7778692;2875979;2876049
Cota austriaca x tinctoria;Cota austriaca (Jacq.) Sch.Bip.;Cota tinctoria (L.) J.Gay;10716783;5390636;5390618
Cotoneaster dammeri x integrifolius;Cotoneaster dammeri C.K.Schneid.;Cotoneaster integrifolius (Roxb.) Klotz;10622618;3026049;3026105
Cousinia ×kurubasgecidiensis Ilçim & Özçelik;Cousinia boissieri Buhse;Cousinia vanensis Hub.-Mor.;9266054;3102262;3102168
Crambe ×tchalenkoae Popovich & Zernov;Crambe koktebelica (Junge) N.Busch;Crambe maritima L.;10821412;5373497;5373533
Crassocephalum rubens var. sarcobasis (DC.) C.Jeffrey & Beentje;Crassocephalum rubens (Juss. ex Jacq.) S.Moore;Crassocephalum sarcobasis (DC.) S.Moore;4249434;3115421;4249415
Crassula ×affinis (P.V.Heath) G.D.Rowley;Crassula atropurpurea (Haw.) D.Dietr.;Crassula nudicaulis L.;5688389;7334462;7333929
Crassula ×christyi (P.V.Heath) G.D.Rowley;Crassula mollis Thunb.;Crassula nudicaulis L.;5689241;7682299;7333929
Crassula ×flexa (P.V.Heath) G.D.Rowley;Crassula cultrata L.;Crassula nudicaulis L.;5688662;5688977;7333929
Crassula ×garciae (P.V.Heath) G.D.Rowley;Crassula biplanata Haw.;Crassula ericoides Haw.;5688605;5689461;7334227
Crassula ×hybrida (P.V.Heath) G.D.Rowley;Crassula alpestris Thunb.;Crassula columnaris Thunb.;5688428;8920573;7372409
Crassula ×mixta (P.V.Heath) G.D.Rowley;Crassula ericoides Haw.;Crassula tetragona L.;5688028;7334227;7172747
Crassula ×mortii Gideon F.Sm. & N.R.Crouch;Crassula perforata Thunb.;Crassula rubricaulis Eckl. & Zeyh.;11212768;7642067;5690330
Crassula ×putativa (P.V.Heath) G.D.Rowley;Crassula capensis (L.) Baill.;Crassula dentata Thunb.;5690528;7334403;5688897
Crataegus ×borealoides R.Döll;Crataegus orientobaltica Cinovskis;Crataegus subborealis Cinovskis;3015292;7271965;3015240
Crataegus ×brandenii R.Döll;Crataegus lindmanii Hrabetová;Crataegus oxyacantha Walter;3013701;9024019;7426794
Crataegus ×browicziana K.I.Chr.;Crataegus microphylla Gand.;Crataegus rhipidophylla Gand.;3013895;8023197;9047268
Crataegus ×chersonensis K.I.Chr.;Crataegus meyeri Pojark.;Crataegus microphylla Gand.;3013854;3014768;8023197
Crataegus ×cispontica Ufimov;Crataegus microphylla K.Koch;Crataegus rhipidophylla Gand.;8422327;3015544;9047268
Crataegus ×cogswellii K.I.Chr. & T.A.Dickinson;Crataegus monogyna Jacq.;Crataegus suksdorfii (Sarg.) Kruschke;10744118;9220780;3015440
Crataegus ×curvisepaloides R.Döll;Crataegus curvisepala Lindm.;Crataegus orientobaltica Cinovskis;3015320;8193213;7271965
Crataegus ×feldbergii R.Doll;Crataegus ×monoli R.Doll;Crataegus orientobaltica Cinovskis;3015953;3015943;7271965
Crataegus ×glauca R.Doll;Crataegus curcina R.Doll;Crataegus monogyna Jacq.;8411485;3015960;9220780
Crataegus ×hafniensis K.I.Chr.;Crataegus laevigata (Poir.) DC.;Crataegus microphylla Gand.;3013734;8252683;8023197
Crataegus ×inexpectans K.I.Chr.;Crataegus monogyna Jacq.;Crataegus nevadensis K.I.Chr.;3013681;9220780;3014323
Crataegus ×integerrima R.Döll;Crataegus ×dabelowa R.Doll;Crataegus oxyacantha Walter;3015303;3015941;7426794
Crataegus ×killinica K.I.Chr.;Crataegus heldreichii Boiss.;Crataegus monogyna Jacq.;3013658;3015539;9220780
Crataegus ×luzinii R.Döll;Crataegus lindmanii Hrabetová;Crataegus orientobaltica Cinovskis;3015935;9024019;7271965
Crataegus ×mechowa R.Doll;Crataegus curvisepala Lindm.;Crataegus oxyacantha Walter;3013816;8193213;7426794
Crataegus ×ninae-celottiae K.I.Chr. & T.A.Dickinson;Crataegus monogyna Jacq.;Crataegus punctata Jacq.;7562684;9220780;3014805
Crataegus ×petiolata R.Doll;Crataegus calycina Peterm.;Crataegus monogyna Jacq.;3013818;8313470;9220780
Crataegus ×poplavskae Tzvelev;Crataegus microphylla K.Koch;Crataegus stevenii Pojark.;3013643;3015544;3015321
Crataegus ×rosacea R.Doll;Crataegus oxyacantha Walter;Crataegus subborealis Cinovskis;3013825;7426794;3015240
Crataegus ×ruscinonensis var. aronioides Browicz;Crataegus azarolus var. aronia L.;Crataegus monogyna Jacq.;3013768;8344757;9220780
Crataegus ×silicensis (Hrabetová) Baranec;Crataegus ×rosiformis Janka;Crataegus monogyna Jacq.;3015946;10973763;9220780
Crataegus ×subsphaerica subsp. domicensis (Hrabetová) P.A.Schmidt;Crataegus monogyna Jacq.;Crataegus rhipidophylla subsp. lindmanii (Hrabetová) P.A.Schmidt;11063805;9220780;8241042
Crataegus ×werdana R.Döll;Crataegus lindmanii Hrabetová;Crataegus poloniensis Cinovskis;3015938;9024019;3015043
Crataegus ×yosgatica K.I.Chr.;Crataegus monogyna Jacq.;Crataegus tanacetifolia Webb;3013614;9220780;7999195
Crataegus ×zangezura subsp. pseudoambigua (Pojark.) K.I.Chr.;Crataegus pentagyna subsp. pseudomelanocarpa (Pojark.) K.I.Chr.;Crataegus pseudoheterophylla subsp. turkestanica (Pojark.) K.I.Chr.;3016119;3014449;3013626
Crataegus crus-galli x pubescens fo. stipulacea;Crataegus crus-galli L.;Crataegus pubescens f. stipulacea Stapf;10617415;3013404;3014536
Crataegus daghestanica Gladkova;Crataegus microphylla Gand.;Crataegus pseudoheterophylla Pojark.;3015985;8023197;3013625
Crataegus media var. sicula (Koch) K.I.Chr.;Crataegus laevigata (Poir.) DC.;Crataegus monogyna var. lasiocarpa (Lange) K.I.Chr.;3013801;8252683;3015343
Crataegus monogyna var. heterophylla (Flüggé) Dippel;Crataegus heterophylla Flüggé;Crataegus monogyna Jacq.;3013465;8031653;9220780
Crataegus monogyna var. nigra Pall.;Crataegus monogyna Jacq.;Crataegus nigra Waldst. & Kit.;3014059;9220780;3015596
Crataegus oxyacantha var. monogyna (Jacq.) Wahlenb.;Crataegus monogyna Jacq.;Crataegus oxyacantha Thuill.;3015172;9220780;8358065
Crepidiastrum ×muratagenii H.Ohashi & K.Ohashi;Crepidiastrum denticulatum (Houtt.) Pak & Kawano;Crepidiastrum lanceolatum (Houtt.) Nakai;4248737;3094819;3145168
Crepidiastrum ×nakaii H.Ohashi & K.Ohashi;Crepidiastrum denticulatum (Houtt.) Pak & Kawano;Crepidiastrum platyphyllum (Makino) Kitam.;4248732;3094819;3145184
Crepidiastrum ×semiauriculatum N.Yamam. & H.Ikeda;Crepidiastrum denticulatum (Houtt.) Pak & Kawano;Crepidiastrum yoshinoi (Makino) Pak & Kawano;6293327;3094819;3094802
Crepis biennis x capillaris;Crepis biennis L.;Crepis capillaris (L.) Wallr.;9901661;5403531;5403304
