verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Asplenium adulterinum × trichomanes;florkart;Asplenium adulterinum × trichomanes;formula;Asplenium adulterinum × trichomanes;10313917;10313917;Asplenium adulterinum;Asplenium trichomanes;2650652;2650652;8108066;8108066
Asplenium adulterinum Milde;florkart;Asplenium adulterinum Milde;name;Asplenium adulterinum Milde;2650652;2650652;NA;NA;NA;NA;NA;NA
Asplenium septentrionale × trichomanes;florkart;Asplenium septentrionale × trichomanes;formula;Asplenium septentrionale × trichomanes;9736159;9736159;Asplenium septentrionale;Asplenium trichomanes;2650720;2650720;8108066;8108066
Asplenium × clermontae Syme;florkart;Asplenium × clermontae Syme;name;Asplenium ×clermontae Syme;4256697;10390164;NA;NA;NA;NA;NA;NA
Asplenium cuneifolium × septentrionale;florkart;Asplenium cuneifolium × septentrionale;formula;Asplenium cuneifolium × septentrionale;NA;NA;Asplenium cuneifolium;Asplenium septentrionale;7310930;7310930;2650720;2650720
Asplenium fissum × viride;florkart;Asplenium fissum × viride;formula;Asplenium fissum × viride;10596016;10596016;Asplenium fissum;Asplenium viride;4258666;4258666;2650716;2650716
Asplenium adulterinum × viride;florkart;Asplenium adulterinum × viride;formula;Asplenium adulterinum × viride;9735041;9735041;Asplenium adulterinum;Asplenium viride;2650652;2650652;2650716;2650716
Asplenium × murbeckii Dörfl.;florkart;Asplenium × murbeckii Dörfl.;name;Asplenium ×murbeckii Dörfl.;4257039;4257039;NA;NA;NA;NA;NA;NA
Asplenium trichomanes × viride;florkart;Asplenium trichomanes × viride;formula;Asplenium trichomanes × viride;10199652;10199652;Asplenium trichomanes;Asplenium viride;8108066;8108066;2650716;2650716
Asplenium cuneifolium × viride;florkart;Asplenium cuneifolium × viride;formula;Asplenium cuneifolium × viride;NA;NA;Asplenium cuneifolium;Asplenium viride;7310930;7310930;2650716;2650716
Atriplex longipes × prostrata;florkart;Atriplex longipes × prostrata;formula;Atriplex longipes × prostrata;NA;NA;Atriplex longipes;Atriplex prostrata;3757720;3757720;3083786;3083786
Avena fatua × sativa;florkart;Avena fatua × sativa;formula;Avena fatua × sativa;10637000;10637000;Avena fatua;Avena sativa;2705297;2705297;2705290;2705290
Barbarea arcuata × stricta;florkart;Barbarea arcuata × stricta;formula;Barbarea arcuata × stricta;NA;NA;Barbarea arcuata;Barbarea stricta;5374650;5708780;5374614;5374614
Barbarea stricta × vulgaris;florkart;Barbarea stricta × vulgaris;formula;Barbarea stricta × vulgaris;10011230;10011230;Barbarea stricta;Barbarea vulgaris;5374614;5374614;5708780;5708780
Barbarea arcuata × vulgaris;florkart;Barbarea arcuata × vulgaris;formula;Barbarea arcuata × vulgaris;NA;NA;Barbarea arcuata;Barbarea vulgaris;5374650;5708780;5708780;5708780
Betula pendula × pubescens;florkart;Betula pendula × pubescens;formula;Betula pendula × pubescens;10030707;10030707;Betula pendula;Betula pubescens;5331916;5331916;9118014;9118014
Betula humilis × pendula;florkart;Betula humilis × pendula;formula;Betula humilis × pendula;10249423;10249423;Betula humilis;Betula pendula;5331629;5331629;5331916;5331916
Betula humilis × pubescens;florkart;Betula humilis × pubescens;formula;Betula humilis × pubescens;10645955;10645955;Betula humilis;Betula pubescens;5331629;5331629;9118014;9118014
Bidens × polakii Velen.;florkart;Bidens × polakii Velen.;name;Bidens ×polakii Velen.;8240386;8240386;NA;NA;NA;NA;NA;NA
Bromus hordeaceus × racemosus;florkart;Bromus hordeaceus × racemosus;formula;Bromus hordeaceus × racemosus;NA;NA;Bromus hordeaceus;Bromus racemosus;2703777;2703777;2703764;2703764
Calamagrostis arundinacea × varia;florkart;Calamagrostis arundinacea × varia;formula;Calamagrostis arundinacea × varia;10006786;10006786;Calamagrostis arundinacea;Calamagrostis varia;4109084;4109084;4106903;4106903
Calamagrostis arundinacea × villosa;florkart;Calamagrostis arundinacea × villosa;formula;Calamagrostis arundinacea × villosa;10250663;10250663;Calamagrostis arundinacea;Calamagrostis villosa;4109084;4109084;4106690;4106690
Calamagrostis canescens × phragmitoides;florkart;Calamagrostis canescens × phragmitoides;formula;Calamagrostis canescens × phragmitoides;NA;NA;Calamagrostis canescens;Calamagrostis phragmitoides;4108861;4108861;4151143;4107931
Calamagrostis canescens ×  purpurea ?;florkart;Calamagrostis canescens × purpurea;formula;Calamagrostis canescens × purpurea;NA;NA;Calamagrostis canescens;Calamagrostis purpurea;4108861;4108861;4107931;4107931
Calamagrostis canescens × villosa;florkart;Calamagrostis canescens × villosa;formula;Calamagrostis canescens × villosa;NA;NA;Calamagrostis canescens;Calamagrostis villosa;4108861;4108861;4106690;4106690
Calamagrostis epigejos × pseudophragmites;florkart;Calamagrostis epigejos × pseudophragmites;formula;Calamagrostis epigejos × pseudophragmites;10432712;10432712;Calamagrostis epigejos;Calamagrostis pseudophragmites;6431455;6431455;4108217;4108217
Calamagrostis epigejos × villosa;florkart;Calamagrostis epigejos × villosa;formula;Calamagrostis epigejos × villosa;NA;NA;Calamagrostis epigejos;Calamagrostis villosa;6431455;6431455;4106690;4106690
Calamagrostis canescens × stricta;florkart;Calamagrostis canescens × stricta;formula;Calamagrostis canescens × stricta;10625352;10454565;Calamagrostis canescens;Calamagrostis stricta;4108861;4108861;2704899;2704899
Calystegia sepium × silvatica;florkart;Calystegia sepium × silvatica;formula;Calystegia sepium × silvatica;NA;NA;Calystegia sepium;Calystegia silvatica;2928441;2928441;2928446;2928446
Campanula bononiensis × rapunculoides;florkart;Campanula bononiensis × rapunculoides;formula;Campanula bononiensis × rapunculoides;NA;NA;Campanula bononiensis;Campanula rapunculoides;5410250;5410250;5410436;5410436
Campanula cervicaria × glomerata;florkart;Campanula cervicaria × glomerata;formula;Campanula cervicaria × glomerata;10351942;10351942;Campanula cervicaria;Campanula glomerata;5410857;5410857;5409933;5409933
Campanula glomerata × trachelium;florkart;Campanula glomerata × trachelium;formula;Campanula glomerata × trachelium;10597238;10597238;Campanula glomerata;Campanula trachelium;5409933;5409933;5412014;5412014
Campanula persicifolia × rapunculus;florkart;Campanula persicifolia × rapunculus;formula;Campanula persicifolia × rapunculus;NA;NA;Campanula persicifolia;Campanula rapunculus;5411475;5411475;5411920;5411920
Campanula rapunculoides × trachelium;florkart;Campanula rapunculoides × trachelium;formula;Campanula rapunculoides × trachelium;10180015;10180015;Campanula rapunculoides;Campanula trachelium;5410436;5410436;5412014;5412014
Campanula rotundifolia × scheuchzeri;florkart;Campanula rotundifolia × scheuchzeri;formula;Campanula rotundifolia × scheuchzeri;NA;NA;Campanula rotundifolia;Campanula scheuchzeri;5410907;5410907;5410226;5410226
Cardamine flexuosa × pratensis;florkart;Cardamine flexuosa × pratensis;formula;Cardamine flexuosa × pratensis;10268786;10268786;Cardamine flexuosa;Cardamine pratensis;3046076;3046076;7972010;7972010
Carduus acanthoides × crispus;florkart;Carduus acanthoides × crispus;formula;Carduus acanthoides × crispus;9878864;9878864;Carduus acanthoides;Carduus crispus;3114643;3114643;3114649;3114649
Carduus crispus × nutans;florkart;Carduus crispus × nutans;formula;Carduus crispus × nutans;10655196;10655196;Carduus crispus;Carduus nutans;3114649;3114649;8185959;8185959
Carduus acanthoides × nutans;florkart;Carduus acanthoides × nutans;formula;Carduus acanthoides × nutans;10273374;10273374;Carduus acanthoides;Carduus nutans;3114643;3114643;8185959;8185959
Carduus acanthoides × defloratus;florkart;Carduus acanthoides × defloratus;formula;Carduus acanthoides × defloratus;NA;NA;Carduus acanthoides;Carduus defloratus;3114643;3114643;3114563;3114563
Carex acutiformis × lasiocarpa;florkart;Carex acutiformis × lasiocarpa;formula;Carex acutiformis × lasiocarpa;NA;NA;Carex acutiformis;Carex lasiocarpa;2723099;2723099;2728531;2728531
Carex acuta × cespitosa;florkart;Carex acuta × cespitosa;formula;Carex acuta × cespitosa;10025506;10025506;Carex acuta;Carex cespitosa;2722833;2722833;2723925;2723925
Carex appropinquata × canescens;florkart;Carex appropinquata × canescens;formula;Carex appropinquata × canescens;10151231;10151231;Carex appropinquata;Carex canescens;2727917;2727917;2722942;2722942
Carex remota × canescens;florkart;Carex remota × canescens;formula;Carex remota × canescens;NA;NA;Carex remota;Carex canescens;2727294;2727294;2722942;2722942
Carex acuta × acutiformis;florkart;Carex acuta × acutiformis;formula;Carex acuta × acutiformis;10262534;10262534;Carex acuta;Carex acutiformis;2722833;2722833;2723099;2723099
Carex acutiformis × rostrata;florkart;Carex acutiformis × rostrata;formula;Carex acutiformis × rostrata;10248900;10248900;Carex acutiformis;Carex rostrata;2723099;2723099;2726725;2726725
Carex diandra × paniculata;florkart;Carex diandra × paniculata;formula;Carex diandra × paniculata;9958864;9958864;Carex diandra;Carex paniculata;2723156;2723156;2723371;2723371
Carex paniculata × remota;florkart;Carex paniculata × remota;formula;Carex paniculata × remota;10283151;10283151;Carex paniculata;Carex remota;2723371;2723371;2727294;2727294
Carex brizoides × leporina;florkart;Carex brizoides × leporina;formula;Carex brizoides × leporina;NA;NA;Carex brizoides;Carex leporina;2721983;2721983;8285827;8285827
Carex canescens × echinata;florkart;Carex canescens × echinata;formula;Carex canescens × echinata;10547326;10547326;Carex canescens;Carex echinata;2722942;2722942;2726894;2726894
Carex caryophyllea × ericetorum;florkart;Carex caryophyllea × ericetorum;formula;Carex caryophyllea × ericetorum;NA;NA;Carex caryophyllea;Carex ericetorum;2727655;2727655;2729081;2729081
Carex bigelowii × nigra;florkart;Carex bigelowii × nigra;formula;Carex bigelowii × nigra;10011062;10011062;Carex bigelowii;Carex nigra;2722383;2722383;2724925;2724925
Carex distans × flava;florkart;Carex distans × flava;formula;Carex distans × flava;NA;NA;Carex distans;Carex flava;2726010;2726010;2726880;2726880
Carex acutiformis × vesicaria;florkart;Carex acutiformis × vesicaria;formula;Carex acutiformis × vesicaria;10420743;10420743;Carex acutiformis;Carex vesicaria;2723099;2723099;2722046;2722046
Carex echinata × elongata;florkart;Carex echinata × elongata;formula;Carex echinata × elongata;10435929;10435929;Carex echinata;Carex elongata;2726894;2726894;2723188;2723188
Carex echinata × remota;florkart;Carex echinata × remota;formula;Carex echinata × remota;10645412;10645412;Carex echinata;Carex remota;2726894;2726894;2727294;2727294
Carex lasiocarpa × riparia;florkart;Carex lasiocarpa × riparia;formula;Carex lasiocarpa × riparia;10005045;10005045;Carex lasiocarpa;Carex riparia;2728531;2728531;2718117;2718117
Carex demissa × flava;florkart;Carex demissa × flava;formula;Carex demissa × flava;9879342;9879342;Carex demissa;Carex flava;2725414;2725414;2726880;2726880
Carex demissa × viridula;florkart;Carex demissa × viridula;formula;Carex demissa × viridula;NA;NA;Carex demissa;Carex viridula;2725414;2725414;NA;NA
Carex flava × viridula;florkart;Carex flava × viridula;formula;Carex flava × viridula;NA;NA;Carex flava;Carex viridula;2726880;2726880;NA;NA
Carex lepidocarpa × viridula;florkart;Carex lepidocarpa × viridula;formula;Carex lepidocarpa × viridula;NA;NA;Carex lepidocarpa;Carex viridula;2725388;2725388;NA;NA
Carex demissa × hostiana;florkart;Carex demissa × hostiana;formula;Carex demissa × hostiana;9975707;9975707;Carex demissa;Carex hostiana;2725414;2725414;2728963;2728963
Carex dioica × echinata;florkart;Carex dioica × echinata;formula;Carex dioica × echinata;10030995;10030995;Carex dioica;Carex echinata;2728870;2728870;2726894;2726894
Carex pseudocyperus × rostrata;florkart;Carex pseudocyperus × rostrata;formula;Carex pseudocyperus × rostrata;10499913;10499913;Carex pseudocyperus;Carex rostrata;2722760;2722760;2726725;2726725
Carex lasiocarpa × rostrata;florkart;Carex lasiocarpa × rostrata;formula;Carex lasiocarpa × rostrata;10271811;10271811;Carex lasiocarpa;Carex rostrata;2728531;2728531;2726725;2726725
Carex lasiocarpa × vesicaria;florkart;Carex lasiocarpa × vesicaria;formula;Carex lasiocarpa × vesicaria;10097979;10097979;Carex lasiocarpa;Carex vesicaria;2728531;2728531;2722046;2722046
Carex × leutzii Kneuck.;florkart;Carex × leutzii Kneuck.;name;Carex ×leutzii Kneuck.;2726848;2726848;NA;NA;NA;NA;NA;NA
Carex × ligniciensis Figert;florkart;Carex × ligniciensis Figert;name;Carex ×ligniciensis Figert;2726330;2726330;NA;NA;NA;NA;NA;NA
Carex canescens × paniculata;florkart;Carex canescens × paniculata;formula;Carex canescens × paniculata;9912870;9912870;Carex canescens;Carex paniculata;2722942;2722942;2723371;2723371
Carex distans × lepidocarpa;florkart;Carex distans × lepidocarpa;formula;Carex distans × lepidocarpa;10320158;10320158;Carex distans;Carex lepidocarpa;2726010;2726010;2725388;2725388
Carex montana × umbrosa;florkart;Carex montana × umbrosa;formula;Carex montana × umbrosa;NA;NA;Carex montana;Carex umbrosa;2724108;2724108;2729177;2729177
Carex muricata × spicata;florkart;Carex muricata × spicata;formula;Carex muricata × spicata;NA;NA;Carex muricata;Carex spicata;2722926;2722926;2722210;2722210
Carex nigra × trinervis;florkart;Carex nigra × trinervis;formula;Carex nigra × trinervis;NA;NA;Carex nigra;Carex trinervis;2724925;2724925;2710421;2710421
Carex brizoides × remota;florkart;Carex brizoides × remota;formula;Carex brizoides × remota;10507427;10507427;Carex brizoides;Carex remota;2721983;2721983;2727294;2727294
Carex × prolixa Fr.;florkart;Carex × prolixa Fr.;name;Carex ×prolixa Fr.;2722343;2722343;NA;NA;NA;NA;NA;NA
Carex otrubae × remota;florkart;Carex otrubae × remota;formula;Carex otrubae × remota;10550192;10550192;Carex otrubae;Carex remota;2723259;2723259;2727294;2727294
Carex remota × vulpina;florkart;Carex remota × vulpina;formula;Carex remota × vulpina;10040593;10040593;Carex remota;Carex vulpina;2727294;2727294;2728514;2728514
Carex riparia × vesicaria;florkart;Carex riparia × vesicaria;formula;Carex riparia × vesicaria;9819904;9819904;Carex riparia;Carex vesicaria;2718117;2718117;2722046;2722046
Carex appropinquata × paniculata;florkart;Carex appropinquata × paniculata;formula;Carex appropinquata × paniculata;10324206;10324206;Carex appropinquata;Carex paniculata;2727917;2727917;2723371;2723371
Carex acutiformis × riparia;florkart;Carex acutiformis × riparia;formula;Carex acutiformis × riparia;9683467;9683467;Carex acutiformis;Carex riparia;2723099;2723099;2718117;2718117
Carex acuta × buekii;florkart;Carex acuta × buekii;formula;Carex acuta × buekii;10514423;10514423;Carex acuta;Carex buekii;2722833;2722833;2722500;2722500
Carex × xanthocarpa Degl.;florkart;Carex × xanthocarpa Degl.;name;Carex ×xanthocarpa Degl.;2723752;2723752;NA;NA;NA;NA;NA;NA
Centaurea jacea × stoebe;florkart;Centaurea jacea × stoebe;formula;Centaurea jacea × stoebe;9923705;9923705;Centaurea jacea;Centaurea stoebe;3128547;3128547;3127727;3127727
Centaurea diffusa × thuillieri;florkart;Centaurea diffusa × thuillieri;formula;Centaurea diffusa × thuillieri;NA;NA;Centaurea diffusa;Centaurea thuillieri;3128962;3128962;3127518;3127518
Centaurea jacea × nigra;florkart;Centaurea jacea × nigra;formula;Centaurea jacea × nigra;10511141;7899998;Centaurea jacea;Centaurea nigra;3128547;3128547;3128225;3128225
Centaurea jacea × pannonica;florkart;Centaurea jacea × pannonica;formula;Centaurea jacea × pannonica;NA;NA;Centaurea jacea;Centaurea pannonica;3128547;3128547;3128363;3128363
Centaurea jacea × scabiosa;florkart;Centaurea jacea × scabiosa;formula;Centaurea jacea × scabiosa;10167244;10167244;Centaurea jacea;Centaurea scabiosa;3128547;3128547;8087525;8087525
Centaurea jacea × solstitialis;florkart;Centaurea jacea × solstitialis;formula;Centaurea jacea × solstitialis;NA;NA;Centaurea jacea;Centaurea solstitialis;3128547;3128547;3128888;3128888
Centaurea nemoralis × pseudophrygia;florkart;Centaurea nemoralis × pseudophrygia;formula;Centaurea nemoralis × pseudophrygia;NA;NA;Centaurea nemoralis;Centaurea pseudophrygia;3127553;6076478;6446296;6446296
Centaurea nigrescens × thuillieri;florkart;Centaurea nigrescens × thuillieri;formula;Centaurea nigrescens × thuillieri;NA;NA;Centaurea nigrescens;Centaurea thuillieri;3128228;3128228;3127518;3127518
Centaurea pseudophrygia × thuillieri;florkart;Centaurea pseudophrygia × thuillieri;formula;Centaurea pseudophrygia × thuillieri;NA;NA;Centaurea pseudophrygia;Centaurea thuillieri;6446296;6446296;3127518;3127518
Centaurium littorale × pulchellum;florkart;Centaurium littorale × pulchellum;formula;Centaurium littorale × pulchellum;NA;NA;Centaurium littorale;Centaurium pulchellum;5414469;5414469;7439391;7439391
Cerastium arvense × holosteoides;florkart;Cerastium arvense × holosteoides;formula;Cerastium arvense × holosteoides;NA;NA;Cerastium arvense;Cerastium holosteoides;3085433;3085433;6364031;6364031
Cerastium brachypetalum × holosteoides;florkart;Cerastium brachypetalum × holosteoides;formula;Cerastium brachypetalum × holosteoides;9871315;9871315;Cerastium brachypetalum;Cerastium holosteoides;3085439;3085439;6364031;6364031
Cerastium glomeratum × holosteoides;florkart;Cerastium glomeratum × holosteoides;formula;Cerastium glomeratum × holosteoides;NA;NA;Cerastium glomeratum;Cerastium holosteoides;3085440;3085440;6364031;6364031
Chenopodium album × opulifolium;florkart;Chenopodium album × opulifolium;formula;Chenopodium album × opulifolium;10132962;10132962;Chenopodium album;Chenopodium opulifolium;3083838;3083838;8357729;8357729
Chenopodium album × ficifolium;florkart;Chenopodium album × ficifolium;formula;Chenopodium album × ficifolium;10618646;10618646;Chenopodium album;Chenopodium ficifolium;3083838;3083838;3083862;3083862
Cirsium acaulon × eriophorum;florkart;Cirsium acaulon × eriophorum;formula;Cirsium acaulon × eriophorum;10431189;10431189;Cirsium acaulon;Cirsium eriophorum;3112694;3112694;3112620;3112620
Cirsium × affine Tausch;florkart;Cirsium × affine Tausch;name;Cirsium ×affine Tausch;3112946;3112946;NA;NA;NA;NA;NA;NA
Cirsium × celakovskyanum Knaf;florkart;Cirsium × celakovskyanum Knaf;name;Cirsium ×celakovskyanum Knaf;3113439;3113439;NA;NA;NA;NA;NA;NA
Cirsium acaulon × arvense;florkart;Cirsium acaulon × arvense;formula;Cirsium acaulon × arvense;9885325;9885325;Cirsium acaulon;Cirsium arvense;3112694;3112694;3113414;3113414
Cirsium eriophorum × tuberosum;florkart;Cirsium eriophorum × tuberosum;formula;Cirsium eriophorum × tuberosum;NA;NA;Cirsium eriophorum;Cirsium tuberosum;3112620;3112620;3112651;3112651
Cirsium erisithales × spinosissimum (Jacq.) Scop.;florkart;Cirsium erisithales × spinosissimum (Jacq.) Scop.;formula;Cirsium erisithales × spinosissimum (Jacq.) Scop.;NA;NA;Cirsium erisithales;Cirsium spinosissimum (Jacq.) Scop.;3113027;3113027;8322056;8322056
Cirsium erisithales × rivulare;florkart;Cirsium erisithales × rivulare;formula;Cirsium erisithales × rivulare;NA;NA;Cirsium erisithales;Cirsium rivulare;3113027;3113027;3113637;3113637
Cirsium × erucagineum DC.;florkart;Cirsium × erucagineum DC.;name;Cirsium ×erucagineum DC.;3113033;3113033;NA;NA;NA;NA;NA;NA
Cirsium oleraceum × palustre;florkart;Cirsium oleraceum × palustre;formula;Cirsium oleraceum × palustre;10008311;10008311;Cirsium oleraceum;Cirsium palustre;3113650;3113650;3113239;3113239
Cirsium oleraceum × spinosissimum;florkart;Cirsium oleraceum × spinosissimum;formula;Cirsium oleraceum × spinosissimum;10532832;10532832;Cirsium oleraceum;Cirsium spinosissimum;3113650;3113650;8322056;8322056
Cirsium palustre × spinosissimum;florkart;Cirsium palustre × spinosissimum;formula;Cirsium palustre × spinosissimum;10000376;10000376;Cirsium palustre;Cirsium spinosissimum;3113239;3113239;8322056;8322056
Cirsium acaulon × oleraceum;florkart;Cirsium acaulon × oleraceum;formula;Cirsium acaulon × oleraceum;10150861;10150861;Cirsium acaulon;Cirsium oleraceum;3112694;3112694;3113650;3113650
Cirsium rivulare × tuberosum;florkart;Cirsium rivulare × tuberosum;formula;Cirsium rivulare × tuberosum;10065788;10065788;Cirsium rivulare;Cirsium tuberosum;3113637;3113637;3112651;3112651
Cirsium acaulon × vulgare;florkart;Cirsium acaulon × vulgare;formula;Cirsium acaulon × vulgare;9950837;9950837;Cirsium acaulon;Cirsium vulgare;3112694;3112694;3112801;3112801
Cirsium × subspinuligerum Peterm.;florkart;Cirsium × subspinuligerum Peterm.;name;Cirsium ×subspinuligerum Peterm.;8188714;8188714;NA;NA;NA;NA;NA;NA
Cirsium canum × oleraceum;florkart;Cirsium canum × oleraceum;formula;Cirsium canum × oleraceum;10461416;10461416;Cirsium canum;Cirsium oleraceum;3113458;3113458;3113650;3113650
Cirsium acaulon × tuberosum;florkart;Cirsium acaulon × tuberosum;formula;Cirsium acaulon × tuberosum;10395371;10395371;Cirsium acaulon;Cirsium tuberosum;3112694;3112694;3112651;3112651
Cirsium canum × palustre;florkart;Cirsium canum × palustre;formula;Cirsium canum × palustre;NA;NA;Cirsium canum;Cirsium palustre;3113458;3113458;3113239;3113239
Corydalis cava × solida;florkart;Corydalis cava × solida;formula;Corydalis cava × solida;10277410;10277410;Corydalis cava;Corydalis solida;5530881;5530881;5334208;5334208
Corydalis intermedia × solida;florkart;Corydalis intermedia × solida;formula;Corydalis intermedia × solida;9835142;9835142;Corydalis intermedia;Corydalis solida;5531229;5531229;5334208;5334208
Cotoneaster × watereri Exell;florkart;Cotoneaster × watereri Exell;name;Cotoneaster ×watereri Exell;3026004;3026004;NA;NA;NA;NA;NA;NA
Crataegus persimilis Sarg.;florkart;Crataegus persimilis Sarg.;name;Crataegus persimilis Sarg.;3015457;3015457;NA;NA;NA;NA;NA;NA
Dactylorhiza incarnata × majalis;florkart;Dactylorhiza incarnata × majalis;formula;Dactylorhiza incarnata × majalis;10461857;10461857;Dactylorhiza incarnata;Dactylorhiza majalis;8248593;8248593;2810155;2810155
Dactylorhiza incarnata × maculata;florkart;Dactylorhiza incarnata × maculata;formula;Dactylorhiza incarnata × maculata;10581878;10581878;Dactylorhiza incarnata;Dactylorhiza maculata;8248593;8248593;8179794;8179794
Dactylorhiza maculata × majalis;florkart;Dactylorhiza maculata × majalis;formula;Dactylorhiza maculata × majalis;NA;NA;Dactylorhiza maculata;Dactylorhiza majalis;8179794;8179794;2810155;2810155
Dactylorhiza × dufftiana (M. Schulze) Soó;florkart;Dactylorhiza × dufftiana (M. Schulze) Soó;name;Dactylorhiza ×dufftiana (M. Schulze) Soó;2810869;2810869;NA;NA;NA;NA;NA;NA
Dactylorhiza fuchsii × traunsteineri;florkart;Dactylorhiza fuchsii × traunsteineri;formula;Dactylorhiza fuchsii × traunsteineri;11165356;11165356;Dactylorhiza fuchsii;Dactylorhiza traunsteineri;2810677;2810677;2810532;2810532
Dactylorhiza fuchsii × Gymnadenia conopsea;florkart;Dactylorhiza fuchsii × Gymnadenia conopsea;formula;Dactylorhiza fuchsii × Gymnadenia conopsea;NA;NA;Dactylorhiza fuchsii;Gymnadenia conopsea;2810677;2810677;7845022;7845022
Dactylorhiza fuchsii × maculata;florkart;Dactylorhiza fuchsii × maculata;formula;Dactylorhiza fuchsii × maculata;NA;NA;Dactylorhiza fuchsii;Dactylorhiza maculata;2810677;2810677;8179794;8179794
Dactylorhiza fuchsii × Pseudorchis albida;florkart;Dactylorhiza fuchsii × Pseudorchis albida;formula;Dactylorhiza fuchsii × Pseudorchis albida;NA;NA;Dactylorhiza fuchsii;Pseudorchis albida;2810677;2810677;2787993;2787993
Dactylorhiza incarnata × Gymnadenia conopsea;florkart;Dactylorhiza incarnata × Gymnadenia conopsea;formula;Dactylorhiza incarnata × Gymnadenia conopsea;10537617;10537617;Dactylorhiza incarnata;Gymnadenia conopsea;8248593;8248593;7845022;7845022
Dactylorhiza incarnata × ochroleuca;florkart;Dactylorhiza incarnata × ochroleuca;formula;Dactylorhiza incarnata × ochroleuca;NA;NA;Dactylorhiza incarnata;Dactylorhiza ochroleuca;8248593;8248593;8402332;8402332
Dactylorhiza incarnata × Orchis palustris;florkart;Dactylorhiza incarnata × Orchis palustris;formula;Dactylorhiza incarnata × Orchis palustris;NA;NA;Dactylorhiza incarnata;Orchis palustris;8248593;8248593;9006573;2808399
Dactylorhiza fuchsii × incarnata;florkart;Dactylorhiza fuchsii × incarnata;formula;Dactylorhiza fuchsii × incarnata;10466586;10466586;Dactylorhiza fuchsii;Dactylorhiza incarnata;2810677;2810677;8248593;8248593
Dactylorhiza maculata × Gymnadenia conopsea;florkart;Dactylorhiza maculata × Gymnadenia conopsea;formula;Dactylorhiza maculata × Gymnadenia conopsea;9840730;9840730;Dactylorhiza maculata;Gymnadenia conopsea;8179794;8179794;7845022;7845022
Dactylorhiza maculata × Orchis mascula;florkart;Dactylorhiza maculata × Orchis mascula;formula;Dactylorhiza maculata × Orchis mascula;NA;NA;Dactylorhiza maculata;Orchis mascula;8179794;8179794;2849427;2849427
Dactylorhiza maculata × sambucina;florkart;Dactylorhiza maculata × sambucina;formula;Dactylorhiza maculata × sambucina;NA;NA;Dactylorhiza maculata;Dactylorhiza sambucina;8179794;8179794;8231647;8231647
Dactylorhiza maculata × traunsteineri;florkart;Dactylorhiza maculata × traunsteineri;formula;Dactylorhiza maculata × traunsteineri;NA;NA;Dactylorhiza maculata;Dactylorhiza traunsteineri;8179794;8179794;2810532;2810532
Dactylorhiza majalis × Gymnadenia conopsea;florkart;Dactylorhiza majalis × Gymnadenia conopsea;formula;Dactylorhiza majalis × Gymnadenia conopsea;NA;NA;Dactylorhiza majalis;Gymnadenia conopsea;2810155;2810155;7845022;7845022
Dactylorhiza majalis × ochroleuca;florkart;Dactylorhiza majalis × ochroleuca;formula;Dactylorhiza majalis × ochroleuca;NA;NA;Dactylorhiza majalis;Dactylorhiza ochroleuca;2810155;2810155;8402332;8402332
Dactylorhiza majalis × Orchis mascula;florkart;Dactylorhiza majalis × Orchis mascula;formula;Dactylorhiza majalis × Orchis mascula;NA;NA;Dactylorhiza majalis;Orchis mascula;2810155;2810155;2849427;2849427
Dactylorhiza majalis × Orchis morio;florkart;Dactylorhiza majalis × Orchis morio;formula;Dactylorhiza majalis × Orchis morio;NA;NA;Dactylorhiza majalis;Orchis morio;2810155;2810155;7792969;7792969
Dactylorhiza majalis × Orchis palustris;florkart;Dactylorhiza majalis × Orchis palustris;formula;Dactylorhiza majalis × Orchis palustris;NA;NA;Dactylorhiza majalis;Orchis palustris;2810155;2810155;9006573;2808399
Dactylorhiza majalis × sambucina;florkart;Dactylorhiza majalis × sambucina;formula;Dactylorhiza majalis × sambucina;9827590;9827590;Dactylorhiza majalis;Dactylorhiza sambucina;2810155;2810155;8231647;8231647
Dactylorhiza traunsteineri × Orchis mascula;florkart;Dactylorhiza traunsteineri × Orchis mascula;formula;Dactylorhiza traunsteineri × Orchis mascula;NA;NA;Dactylorhiza traunsteineri;Orchis mascula;2810532;2810532;2849427;2849427
Dactylorhiza × vermeuleniana Soó;florkart;Dactylorhiza × vermeuleniana Soó;name;Dactylorhiza ×vermeuleniana Soó;7431604;10902072;NA;NA;NA;NA;NA;NA
Dianthus arenarius × carthusianorum;florkart;Dianthus arenarius × carthusianorum;formula;Dianthus arenarius × carthusianorum;NA;NA;Dianthus arenarius;Dianthus carthusianorum;3085422;3085422;8400876;8400876
Dianthus armeria × superbus;florkart;Dianthus armeria × superbus;formula;Dianthus armeria × superbus;NA;NA;Dianthus armeria;Dianthus superbus;3085413;3085413;6363496;6363496
Dianthus barbatus × deltoides;florkart;Dianthus barbatus × deltoides;formula;Dianthus barbatus × deltoides;NA;NA;Dianthus barbatus;Dianthus deltoides;3085421;3085421;3085424;3085424
Dianthus barbatus × superbus;florkart;Dianthus barbatus × superbus;formula;Dianthus barbatus × superbus;10453390;10453390;Dianthus barbatus;Dianthus superbus;3085421;3085421;6363496;6363496
