verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Pulsatilla vernalis × vulgaris;florkart;Pulsatilla vernalis × vulgaris;formula;Pulsatilla vernalis × vulgaris;10348646;10348646;Pulsatilla vernalis;Pulsatilla vulgaris;3928615;3928615;3033621;3033621
Pyrus communis × pyraster;florkart;Pyrus communis × pyraster;formula;Pyrus communis × pyraster;NA;NA;Pyrus communis;Pyrus pyraster;5362573;5362573;5362445;5362445
Quercus petraea × robur Bechst.;florkart;Quercus petraea × robur Bechst.;formula;Quercus petraea × robur Bechst.;NA;NA;Quercus petraea;Quercus robur Bechst.;2880130;2880130;2878688;2878688
Ranunculus acris × repens;florkart;Ranunculus acris × repens;formula;Ranunculus acris × repens;NA;NA;Ranunculus acris;Ranunculus repens;3033363;3033363;3033339;3033339
Ranunculus peltatus × trichophyllus;florkart;Ranunculus peltatus × trichophyllus;formula;Ranunculus peltatus × trichophyllus;9791857;3925546;Ranunculus peltatus;Ranunculus trichophyllus;8365713;8365713;3033377;3033377
Ranunculus biformis × stellaris;florkart;Ranunculus biformis × stellaris;formula;Ranunculus biformis × stellaris;NA;NA;Ranunculus biformis;Ranunculus stellaris;3923527;3923527;7277205;7277205
Ranunculus penicillatus × trichophyllus;florkart;Ranunculus penicillatus × trichophyllus;formula;Ranunculus penicillatus × trichophyllus;NA;NA;Ranunculus penicillatus;Ranunculus trichophyllus;7278019;7278019;3033377;3033377
Rhinanthus minor × serotinus;florkart;Rhinanthus minor × serotinus;formula;Rhinanthus minor × serotinus;10500302;10500302;Rhinanthus minor;Rhinanthus serotinus;3172043;3172043;3172044;3172044
Rhododendron ferrugineum × hirsutum;florkart;Rhododendron ferrugineum × hirsutum;formula;Rhododendron ferrugineum × hirsutum;10605630;10605630;Rhododendron ferrugineum;Rhododendron hirsutum;2883073;2883073;4174017;4174017
Ribes rubrum × spicatum;florkart;Ribes rubrum × spicatum;formula;Ribes rubrum × spicatum;10235333;7571991;Ribes rubrum;Ribes spicatum;2986097;2986097;2986129;2986129
Rorippa palustris × sylvestris;florkart;Rorippa palustris × sylvestris;formula;Rorippa palustris × sylvestris;10290486;10290486;Rorippa palustris;Rorippa sylvestris;3053168;3053168;3053376;3053376
Rosa agrestis × elliptica;florkart;Rosa agrestis × elliptica;formula;Rosa agrestis × elliptica;NA;NA;Rosa agrestis;Rosa elliptica;3002394;3002394;3003248;3002258
Rosa agrestis × gallica;florkart;Rosa agrestis × gallica;formula;Rosa agrestis × gallica;NA;NA;Rosa agrestis;Rosa gallica;3002394;3002394;3002530;3002530
Rosa agrestis × rubiginosa;florkart;Rosa agrestis × rubiginosa;formula;Rosa agrestis × rubiginosa;NA;NA;Rosa agrestis;Rosa rubiginosa;3002394;3002394;8174785;8174785
Rosa arvensis × gallica;florkart;Rosa arvensis × gallica;formula;Rosa arvensis × gallica;10479516;10479516;Rosa arvensis;Rosa gallica;3007054;3007054;3002530;3002530
Rosa balsamica × gallica;florkart;Rosa balsamica × gallica;formula;Rosa balsamica × gallica;NA;NA;Rosa balsamica;Rosa gallica;3003310;3003310;3002530;3002530
Rosa caesia × gallica;florkart;Rosa caesia × gallica;formula;Rosa caesia × gallica;NA;NA;Rosa caesia;Rosa gallica;3002191;3002191;3002530;3002530
Rosa canina × marginata;florkart;Rosa canina × marginata;formula;Rosa canina × marginata;NA;NA;Rosa canina;Rosa marginata;3002461;3002461;3004214;3004214
Rosa canina × rubiginosa;florkart;Rosa canina × rubiginosa;formula;Rosa canina × rubiginosa;9904143;10147726;Rosa canina;Rosa rubiginosa;3002461;3002461;8174785;8174785
Rosa canina × sherardii;florkart;Rosa canina × sherardii;formula;Rosa canina × sherardii;10104392;10183341;Rosa canina;Rosa sherardii;3002461;3002461;3003017;3003017
Rosa corymbifera × gallica;florkart;Rosa corymbifera × gallica;formula;Rosa corymbifera × gallica;NA;NA;Rosa corymbifera;Rosa gallica;3007783;3007783;3002530;3002530
Rosa dumalis × gallica;florkart;Rosa dumalis × gallica;formula;Rosa dumalis × gallica;NA;NA;Rosa dumalis;Rosa gallica;3003708;3003708;3002530;3002530
Rosa dumalis × jundzillii;florkart;Rosa dumalis × jundzillii;formula;Rosa dumalis × jundzillii;10385735;10385735;Rosa dumalis;Rosa jundzillii;3003708;3003708;3004945;3004214
Rosa dumalis × rubiginosa;florkart;Rosa dumalis × rubiginosa;formula;Rosa dumalis × rubiginosa;9989466;10384405;Rosa dumalis;Rosa rubiginosa;3003708;3003708;8174785;8174785
Rosa dumalis × sherardii;florkart;Rosa dumalis × sherardii;formula;Rosa dumalis × sherardii;10334326;10348618;Rosa dumalis;Rosa sherardii;3003708;3003708;3003017;3003017
Rosa dumalis × spinosissima;florkart;Rosa dumalis × spinosissima;formula;Rosa dumalis × spinosissima;NA;NA;Rosa dumalis;Rosa spinosissima;3003708;3003708;3002333;3002333
Rosa dumalis × tomentosa;florkart;Rosa dumalis × tomentosa;formula;Rosa dumalis × tomentosa;NA;NA;Rosa dumalis;Rosa tomentosa;3003708;3003708;7934161;7934161
Rosa dumalis Bechst.;florkart;Rosa dumalis Bechst.;name;Rosa dumalis Bechst.;3003708;3003708;NA;NA;NA;NA;NA;NA
Rosa elliptica × rubiginosa;florkart;Rosa elliptica × rubiginosa;formula;Rosa elliptica × rubiginosa;NA;NA;Rosa elliptica;Rosa rubiginosa;3003248;3002258;8174785;8174785
Rosa elliptica × tomentosa;florkart;Rosa elliptica × tomentosa;formula;Rosa elliptica × tomentosa;NA;NA;Rosa elliptica;Rosa tomentosa;3003248;3002258;7934161;7934161
Rosa gallica × majalis;florkart;Rosa gallica × majalis;formula;Rosa gallica × majalis;10017870;3005775;Rosa gallica;Rosa majalis;3002530;3002530;3002263;3002263
Rosa gallica × marginata;florkart;Rosa gallica × marginata;formula;Rosa gallica × marginata;NA;NA;Rosa gallica;Rosa marginata;3002530;3002530;3004214;3004214
Rosa gallica × pseudoscabriuscula;florkart;Rosa gallica × pseudoscabriuscula;formula;Rosa gallica × pseudoscabriuscula;NA;NA;Rosa gallica;Rosa pseudoscabriuscula;3002530;3002530;3009199;3009199
Rosa gallica × rubiginosa;florkart;Rosa gallica × rubiginosa;formula;Rosa gallica × rubiginosa;NA;NA;Rosa gallica;Rosa rubiginosa;3002530;3002530;8174785;8174785
Rosa gallica × sherardii;florkart;Rosa gallica × sherardii;formula;Rosa gallica × sherardii;NA;NA;Rosa gallica;Rosa sherardii;3002530;3002530;3003017;3003017
Rosa gallica × tomentosa;florkart;Rosa gallica × tomentosa;formula;Rosa gallica × tomentosa;10448831;10448831;Rosa gallica;Rosa tomentosa;3002530;3002530;7934161;7934161
Rosa × polliniana Spreng.;florkart;Rosa × polliniana Spreng.;name;Rosa ×polliniana Spreng.;8167030;8167030;NA;NA;NA;NA;NA;NA
