verbatim;type;edited;parent;source
Doronicum x excelsum (N.E. Br.) Stace;name;Doronicum ×excelsum (N.E. Br.) Stace;Doronicum plantagineum;ecoflora
Doronicum x excelsum (N.E. Br.) Stace;name;Doronicum ×excelsum (N.E. Br.) Stace;Doronicum columnae;ecoflora
Doronicum x willdenowii (Rouy) A.W. Hill;name;Doronicum ×willdenowii (Rouy) A.W. Hill;Doronicum pardalianches;ecoflora
Doronicum x willdenowii (Rouy) A.W. Hill;name;Doronicum ×willdenowii (Rouy) A.W. Hill;Doronicum plantagineum;ecoflora
Epilobium ciliatum x lanceolatum;formula;Epilobium ciliatum × lanceolatum;Epilobium ciliatum;ecoflora
Epilobium ciliatum x lanceolatum;formula;Epilobium ciliatum × lanceolatum;Epilobium lanceolatum;ecoflora
Epilobium x brunnatum Kitchener & McKean;name;Epilobium ×brunnatum Kitchener & McKean;Epilobium ciliatum;ecoflora
Epilobium x brunnatum Kitchener & McKean;name;Epilobium ×brunnatum Kitchener & McKean;Epilobium brunnescens;ecoflora
Epilobium x chateri Kitchener & McKean;name;Epilobium ×chateri Kitchener & McKean;Epilobium palustre;ecoflora
Epilobium x chateri Kitchener & McKean;name;Epilobium ×chateri Kitchener & McKean;Epilobium brunnescens;ecoflora
Epilobium x confusilobum Kitchener & McKean;name;Epilobium ×confusilobum Kitchener & McKean;Epilobium montanum;ecoflora
Epilobium x confusilobum Kitchener & McKean;name;Epilobium ×confusilobum Kitchener & McKean;Epilobium brunnescens;ecoflora
Epilobium x floridulum Smejkal;name;Epilobium ×floridulum Smejkal;Epilobium parviflorum;ecoflora
Epilobium x floridulum Smejkal;name;Epilobium ×floridulum Smejkal;Epilobium ciliatum;ecoflora
Epilobium x fossicola Smejkal;name;Epilobium ×fossicola Smejkal;Epilobium ciliatum;ecoflora
Epilobium x fossicola Smejkal;name;Epilobium ×fossicola Smejkal;Epilobium palustre;ecoflora
Epilobium x interjectum Smejkal;name;Epilobium ×interjectum Smejkal;Epilobium montanum;ecoflora
Epilobium x interjectum Smejkal;name;Epilobium ×interjectum Smejkal;Epilobium ciliatum;ecoflora
Epilobium x mentiens Smejkal;name;Epilobium ×mentiens Smejkal;Epilobium tetragonum;ecoflora
Epilobium x mentiens Smejkal;name;Epilobium ×mentiens Smejkal;Epilobium ciliatum;ecoflora
Epilobium x novae-civitatis Smejkal;name;Epilobium ×novae-civitatis Smejkal;Epilobium hirsutum;ecoflora
Epilobium x novae-civitatis Smejkal;name;Epilobium ×novae-civitatis Smejkal;Epilobium ciliatum;ecoflora
Epilobium x nutantiflorum Smejkal;name;Epilobium ×nutantiflorum Smejkal;Epilobium roseum;ecoflora
Epilobium x nutantiflorum Smejkal;name;Epilobium ×nutantiflorum Smejkal;Epilobium ciliatum;ecoflora
Epilobium x obscurescens Kitchener & McKean;name;Epilobium ×obscurescens Kitchener & McKean;Epilobium obscurum;ecoflora
Epilobium x obscurescens Kitchener & McKean;name;Epilobium ×obscurescens Kitchener & McKean;Epilobium brunnescens;ecoflora
Epilobium x vicinum;name;Epilobium ×vicinum;Epilobium obscurum;ecoflora
Epilobium x vicinum;name;Epilobium ×vicinum;Epilobium ciliatum;ecoflora
Erica x darleyensis Bean;name;Erica ×darleyensis Bean;Erica erigena;ecoflora
Erica x darleyensis Bean;name;Erica ×darleyensis Bean;Erica carnea;ecoflora
Erysimum x marshallii (Henfr.) Bois;name;Erysimum ×marshallii (Henfr.) Bois;Erysimum decumbens;ecoflora
Erysimum x marshallii (Henfr.) Bois;name;Erysimum ×marshallii (Henfr.) Bois;Erysimum perofskianum;ecoflora
Euphorbia x gayeri Boros & Soó;name;Euphorbia ×gayeri Boros & Soó;Euphorbia cyparissias;ecoflora
Euphorbia x gayeri Boros & Soó;name;Euphorbia ×gayeri Boros & Soó;Euphorbia waldsteinii;ecoflora
Euphorbia x pseudoesula Schur;name;Euphorbia ×pseudoesula Schur;Euphorbia esula;ecoflora
Euphorbia x pseudoesula Schur;name;Euphorbia ×pseudoesula Schur;Euphorbia cyparissias;ecoflora
Euphorbia x pseudovirgata (Schur) Soó;name;Euphorbia ×pseudovirgata (Schur) Soó;Euphorbia esula;ecoflora
Euphorbia x pseudovirgata (Schur) Soó;name;Euphorbia ×pseudovirgata (Schur) Soó;Euphorbia waldsteinii;ecoflora
Fallopia x bohemica (Chrtek & Chrtková) J.P. Bailey;name;Fallopia ×bohemica (Chrtek & Chrtková) J.P. Bailey;Fallopia japonica;ecoflora
Fallopia x bohemica (Chrtek & Chrtková) J.P. Bailey;name;Fallopia ×bohemica (Chrtek & Chrtková) J.P. Bailey;Fallopia sachalinensis;ecoflora
Fallopia x conollyana J.P. Bailey;name;Fallopia ×conollyana J.P. Bailey;Fallopia japonica;ecoflora
Fallopia x conollyana J.P. Bailey;name;Fallopia ×conollyana J.P. Bailey;Fallopia baldschuanica;ecoflora
Festuca arundinacea x Lolium multiflorum;formula;Festuca arundinacea × Lolium multiflorum;Festuca arundinacea;ecoflora
Festuca arundinacea x Lolium multiflorum;formula;Festuca arundinacea × Lolium multiflorum;Lolium multiflorum;ecoflora
Festuca rubra x Vulpia myuros;formula;Festuca rubra × Vulpia myuros;Festuca rubra;ecoflora
Festuca rubra x Vulpia myuros;formula;Festuca rubra × Vulpia myuros;Vulpia myuros;ecoflora
