verbatim;source;edited;type;parent
Asplenium adulterinum × trichomanes;florkart;Asplenium adulterinum × trichomanes;formula;Asplenium adulterinum
Asplenium adulterinum × trichomanes;florkart;Asplenium adulterinum × trichomanes;formula;Asplenium trichomanes
Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;florkart;Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;formula;Asplenium adulterinum
Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;florkart;Asplenium adulterinum × A. trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.;formula;Asplenium  trichomanes subsp. quadrivalens (Lovis, Melzer & Reichst.) Muñoz Garm.
Asplenium adulterinum Milde;florkart;Asplenium adulterinum Milde;formula;NA
Asplenium septentrionale × A. trichomanes subsp. quadrivalens;florkart;Asplenium septentrionale × A. trichomanes subsp. quadrivalens;formula;Asplenium septentrionale
Asplenium septentrionale × A. trichomanes subsp. quadrivalens;florkart;Asplenium septentrionale × A. trichomanes subsp. quadrivalens;formula;Asplenium  trichomanes subsp. quadrivalens
Asplenium septentrionale × A. trichomanes subsp. trichomanes;florkart;Asplenium septentrionale × A. trichomanes subsp. trichomanes;formula;Asplenium septentrionale
Asplenium septentrionale × A. trichomanes subsp. trichomanes;florkart;Asplenium septentrionale × A. trichomanes subsp. trichomanes;formula;Asplenium  trichomanes subsp. trichomanes
Asplenium septentrionale × trichomanes;florkart;Asplenium septentrionale × trichomanes;formula;Asplenium septentrionale
Asplenium septentrionale × trichomanes;florkart;Asplenium septentrionale × trichomanes;formula;Asplenium trichomanes
Asplenium × clermontae Syme;florkart;Asplenium ×clermontae Syme;name;NA
Asplenium cuneifolium × septentrionale;florkart;Asplenium cuneifolium × septentrionale;formula;Asplenium cuneifolium
Asplenium cuneifolium × septentrionale;florkart;Asplenium cuneifolium × septentrionale;formula;Asplenium septentrionale
Asplenium fissum × viride;florkart;Asplenium fissum × viride;formula;Asplenium fissum
Asplenium fissum × viride;florkart;Asplenium fissum × viride;formula;Asplenium viride
Asplenium adulterinum × viride;florkart;Asplenium adulterinum × viride;formula;Asplenium adulterinum
Asplenium adulterinum × viride;florkart;Asplenium adulterinum × viride;formula;Asplenium viride
Asplenium eberlei;florkart;Asplenium eberlei;formula;NA
Asplenium × murbeckii Dörfl.;florkart;Asplenium ×murbeckii Dörfl.;name;NA
Asplenium trichomanes × viride;florkart;Asplenium trichomanes × viride;formula;Asplenium trichomanes
Asplenium trichomanes × viride;florkart;Asplenium trichomanes × viride;formula;Asplenium viride
Asplenium trichomanes subsp. hastatum × A. quadrivalens;florkart;Asplenium trichomanes subsp. hastatum × A. quadrivalens;formula;Asplenium trichomanes subsp. hastatum
Asplenium trichomanes subsp. hastatum × A. quadrivalens;florkart;Asplenium trichomanes subsp. hastatum × A. quadrivalens;formula;Asplenium  quadrivalens
Asplenium trichomanes subsp. hastatum × A. pachyrachis;florkart;Asplenium trichomanes subsp. hastatum × A. pachyrachis;formula;Asplenium trichomanes subsp. hastatum
Asplenium trichomanes subsp. hastatum × A. pachyrachis;florkart;Asplenium trichomanes subsp. hastatum × A. pachyrachis;formula;Asplenium  pachyrachis
Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;florkart;Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;formula;Asplenium trichomanes subsp. pachyrachis
Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;florkart;Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;formula;Asplenium  quadrivalens
Asplenium trichomanes subsp. quadrivalens × A. viride;florkart;Asplenium trichomanes subsp. quadrivalens × A. viride;formula;Asplenium trichomanes subsp. quadrivalens
Asplenium trichomanes subsp. quadrivalens × A. viride;florkart;Asplenium trichomanes subsp. quadrivalens × A. viride;formula;Asplenium  viride
Asplenium cuneifolium × viride;florkart;Asplenium cuneifolium × viride;formula;Asplenium cuneifolium
Asplenium cuneifolium × viride;florkart;Asplenium cuneifolium × viride;formula;Asplenium viride
Astilbe × arendsii;florkart;Astilbe ×arendsii;name;NA
Athyrium × reichsteinii Schneller & Rasbach;florkart;Athyrium ×reichsteinii Schneller & Rasbach;name;NA
Atriplex longipes × prostrata;florkart;Atriplex longipes × prostrata;formula;Atriplex longipes
Atriplex longipes × prostrata;florkart;Atriplex longipes × prostrata;formula;Atriplex prostrata
Atriplex northusana Wein;florkart;Atriplex northusana Wein;formula;NA
Avena fatua × sativa;florkart;Avena fatua × sativa;formula;Avena fatua
Avena fatua × sativa;florkart;Avena fatua × sativa;formula;Avena sativa
Avena vilis Wallr.;florkart;Avena vilis Wallr.;formula;NA
Barbarea arcuata × stricta;florkart;Barbarea arcuata × stricta;formula;Barbarea arcuata
Barbarea arcuata × stricta;florkart;Barbarea arcuata × stricta;formula;Barbarea stricta
Barbarea stricta × vulgaris;florkart;Barbarea stricta × vulgaris;formula;Barbarea stricta
Barbarea stricta × vulgaris;florkart;Barbarea stricta × vulgaris;formula;Barbarea vulgaris
Barbarea arcuata × vulgaris;florkart;Barbarea arcuata × vulgaris;formula;Barbarea arcuata
Barbarea arcuata × vulgaris;florkart;Barbarea arcuata × vulgaris;formula;Barbarea vulgaris
Mahonia × wagneri (Jouin) Rehder;florkart;Mahonia ×wagneri (Jouin) Rehder;name;NA
Mahonia × decumbens Stace;florkart;Mahonia ×decumbens Stace;name;NA
Berberis rubrostilla Chitt.;florkart;Berberis rubrostilla Chitt.;formula;NA
Betula pendula × pubescens;florkart;Betula pendula × pubescens;formula;Betula pendula
Betula pendula × pubescens;florkart;Betula pendula × pubescens;formula;Betula pubescens
Betula obscura Kotula;florkart;Betula obscura Kotula;formula;NA
Betula humilis × pendula;florkart;Betula humilis × pendula;formula;Betula humilis
Betula humilis × pendula;florkart;Betula humilis × pendula;formula;Betula pendula
Betula humilis × pendula × pubescens;florkart;Betula humilis × pendula × pubescens;formula;Betula humilis
Betula humilis × pendula × pubescens;florkart;Betula humilis × pendula × pubescens;formula;Betula pendula
Betula humilis × pendula × pubescens;florkart;Betula humilis × pendula × pubescens;formula;Betula pubescens
Betula humilis × pubescens;florkart;Betula humilis × pubescens;formula;Betula humilis
Betula humilis × pubescens;florkart;Betula humilis × pubescens;formula;Betula pubescens
Bidens × polakii Velen.;florkart;Bidens ×polakii Velen.;name;NA
Bolboschoenus laticarpus Marhold, Hroudová, Ducháček & Zákr.;florkart;Bolboschoenus laticarpus Marhold, Hroudová, Ducháček & Zákr.;formula;NA
Bromus hordeaceus × racemosus;florkart;Bromus hordeaceus × racemosus;formula;Bromus hordeaceus
Bromus hordeaceus × racemosus;florkart;Bromus hordeaceus × racemosus;formula;Bromus racemosus
Calamagrostis × acutiflora (Schrad.) Rchb.;florkart;Calamagrostis ×acutiflora (Schrad.) Rchb.;name;NA
Calamagrostis arundinacea × varia;florkart;Calamagrostis arundinacea × varia;formula;Calamagrostis arundinacea
Calamagrostis arundinacea × varia;florkart;Calamagrostis arundinacea × varia;formula;Calamagrostis varia
Calamagrostis arundinacea × villosa;florkart;Calamagrostis arundinacea × villosa;formula;Calamagrostis arundinacea
Calamagrostis arundinacea × villosa;florkart;Calamagrostis arundinacea × villosa;formula;Calamagrostis villosa
Calamagrostis × bihariensis Simonk.;florkart;Calamagrostis ×bihariensis Simonk.;name;NA
Calamagrostis canescens × phragmitoides;florkart;Calamagrostis canescens × phragmitoides;formula;Calamagrostis canescens
Calamagrostis canescens × phragmitoides;florkart;Calamagrostis canescens × phragmitoides;formula;Calamagrostis phragmitoides
Calamagrostis canescens ×  purpurea ?;florkart;Calamagrostis canescens × purpurea;formula;Calamagrostis canescens
Calamagrostis canescens ×  purpurea ?;florkart;Calamagrostis canescens × purpurea;formula;Calamagrostis purpurea
Calamagrostis canescens × villosa;florkart;Calamagrostis canescens × villosa;formula;Calamagrostis canescens
Calamagrostis canescens × villosa;florkart;Calamagrostis canescens × villosa;formula;Calamagrostis villosa
Calamagrostis epigejos × pseudophragmites;florkart;Calamagrostis epigejos × pseudophragmites;formula;Calamagrostis epigejos
Calamagrostis epigejos × pseudophragmites;florkart;Calamagrostis epigejos × pseudophragmites;formula;Calamagrostis pseudophragmites
Calamagrostis epigejos × villosa;florkart;Calamagrostis epigejos × villosa;formula;Calamagrostis epigejos
Calamagrostis epigejos × villosa;florkart;Calamagrostis epigejos × villosa;formula;Calamagrostis villosa
Calamagrostis canescens × stricta;florkart;Calamagrostis canescens × stricta;formula;Calamagrostis canescens
Calamagrostis canescens × stricta;florkart;Calamagrostis canescens × stricta;formula;Calamagrostis stricta
Calamagrostis × hartmaniana Fr.;florkart;Calamagrostis ×hartmaniana Fr.;name;NA
Calamagrostis × rigens Lindgr.;florkart;Calamagrostis ×rigens Lindgr.;name;NA
Callitriche vigens K. Martinsson;florkart;Callitriche vigens K. Martinsson;formula;NA
Calystegia sepium × silvatica;florkart;Calystegia sepium × silvatica;formula;Calystegia sepium
Calystegia sepium × silvatica;florkart;Calystegia sepium × silvatica;formula;Calystegia silvatica
Campanula bononiensis × rapunculoides;florkart;Campanula bononiensis × rapunculoides;formula;Campanula bononiensis
Campanula bononiensis × rapunculoides;florkart;Campanula bononiensis × rapunculoides;formula;Campanula rapunculoides
Campanula cervicaria × glomerata;florkart;Campanula cervicaria × glomerata;formula;Campanula cervicaria
Campanula cervicaria × glomerata;florkart;Campanula cervicaria × glomerata;formula;Campanula glomerata
Campanula glomerata × trachelium;florkart;Campanula glomerata × trachelium;formula;Campanula glomerata
Campanula glomerata × trachelium;florkart;Campanula glomerata × trachelium;formula;Campanula trachelium
Campanula persicifolia × rapunculus;florkart;Campanula persicifolia × rapunculus;formula;Campanula persicifolia
Campanula persicifolia × rapunculus;florkart;Campanula persicifolia × rapunculus;formula;Campanula rapunculus
Campanula rapunculoides × trachelium;florkart;Campanula rapunculoides × trachelium;formula;Campanula rapunculoides
Campanula rapunculoides × trachelium;florkart;Campanula rapunculoides × trachelium;formula;Campanula trachelium
Campanula rotundifolia × scheuchzeri;florkart;Campanula rotundifolia × scheuchzeri;formula;Campanula rotundifolia
Campanula rotundifolia × scheuchzeri;florkart;Campanula rotundifolia × scheuchzeri;formula;Campanula scheuchzeri
Canna generalis L. H. Bailey;florkart;Canna generalis L. H. Bailey;formula;NA
Cardamine × ambigua O. E. Schulz;florkart;Cardamine ×ambigua O. E. Schulz;name;NA
Cardamine flexuosa × pratensis;florkart;Cardamine flexuosa × pratensis;formula;Cardamine flexuosa
Cardamine flexuosa × pratensis;florkart;Cardamine flexuosa × pratensis;formula;Cardamine pratensis
Carduus × axillaris Gaudin;florkart;Carduus ×axillaris Gaudin;name;NA
Carduus × brunneri Döll;florkart;Carduus ×brunneri Döll;name;NA
Carduus acanthoides × crispus;florkart;Carduus acanthoides × crispus;formula;Carduus acanthoides
Carduus acanthoides × crispus;florkart;Carduus acanthoides × crispus;formula;Carduus crispus
Carduus × digeneus;florkart;Carduus ×digeneus;name;NA
Carduus crispus × nutans;florkart;Carduus crispus × nutans;formula;Carduus crispus
Carduus crispus × nutans;florkart;Carduus crispus × nutans;formula;Carduus nutans
Carduus acanthoides × nutans;florkart;Carduus acanthoides × nutans;formula;Carduus acanthoides
Carduus acanthoides × nutans;florkart;Carduus acanthoides × nutans;formula;Carduus nutans
Carduus acanthoides × C. nutans subsp. nutans;florkart;Carduus acanthoides × C. nutans subsp. nutans;formula;Carduus acanthoides
Carduus acanthoides × C. nutans subsp. nutans;florkart;Carduus acanthoides × C. nutans subsp. nutans;formula;Carduus  nutans subsp. nutans
Carduus × grenieri Schultz-Bip. ex Nyman;florkart;Carduus ×grenieri Schultz-Bip. ex Nyman;name;NA
Carduus acanthoides × defloratus;florkart;Carduus acanthoides × defloratus;formula;Carduus acanthoides
Carduus acanthoides × defloratus;florkart;Carduus acanthoides × defloratus;formula;Carduus defloratus
Carduus × subinteger J. Murr;florkart;Carduus ×subinteger J. Murr;name;NA
Carex acutiformis × lasiocarpa;florkart;Carex acutiformis × lasiocarpa;formula;Carex acutiformis
Carex acutiformis × lasiocarpa;florkart;Carex acutiformis × lasiocarpa;formula;Carex lasiocarpa
Carex acuta × cespitosa;florkart;Carex acuta × cespitosa;formula;Carex acuta
Carex acuta × cespitosa;florkart;Carex acuta × cespitosa;formula;Carex cespitosa
Carex appropinquata × canescens;florkart;Carex appropinquata × canescens;formula;Carex appropinquata
Carex appropinquata × canescens;florkart;Carex appropinquata × canescens;formula;Carex canescens
Carex × arthuriana Beckm. & Figert;florkart;Carex ×arthuriana Beckm. & Figert;name;NA
Carex remota × canescens;florkart;Carex remota × canescens;formula;Carex remota
Carex remota × canescens;florkart;Carex remota × canescens;formula;Carex canescens
Carex acuta × acutiformis;florkart;Carex acuta × acutiformis;formula;Carex acuta
Carex acuta × acutiformis;florkart;Carex acuta × acutiformis;formula;Carex acutiformis
Carex acutiformis × rostrata;florkart;Carex acutiformis × rostrata;formula;Carex acutiformis
Carex acutiformis × rostrata;florkart;Carex acutiformis × rostrata;formula;Carex rostrata
Carex beckmanniana Figert;florkart;Carex beckmanniana Figert;formula;NA
Carex diandra × paniculata;florkart;Carex diandra × paniculata;formula;Carex diandra
Carex diandra × paniculata;florkart;Carex diandra × paniculata;formula;Carex paniculata
Carex × binderi Podp.;florkart;Carex ×binderi Podp.;name;NA
Carex paniculata × remota;florkart;Carex paniculata × remota;formula;Carex paniculata
Carex paniculata × remota;florkart;Carex paniculata × remota;formula;Carex remota
Carex bolina O. Lang;florkart;Carex bolina O. Lang;formula;NA
Carex brizoides × leporina;florkart;Carex brizoides × leporina;formula;Carex brizoides
Carex brizoides × leporina;florkart;Carex brizoides × leporina;formula;Carex leporina
Carex canescens × echinata;florkart;Carex canescens × echinata;formula;Carex canescens
Carex canescens × echinata;florkart;Carex canescens × echinata;formula;Carex echinata
Carex caryophyllea × ericetorum;florkart;Carex caryophyllea × ericetorum;formula;Carex caryophyllea
Carex caryophyllea × ericetorum;florkart;Carex caryophyllea × ericetorum;formula;Carex ericetorum
Carex × connectens Holmb.;florkart;Carex ×connectens Holmb.;name;NA
Carex bigelowii × nigra;florkart;Carex bigelowii × nigra;formula;Carex bigelowii
Carex bigelowii × nigra;florkart;Carex bigelowii × nigra;formula;Carex nigra
Carex distans × flava;florkart;Carex distans × flava;formula;Carex distans
Carex distans × flava;florkart;Carex distans × flava;formula;Carex flava
Carex acutiformis × vesicaria;florkart;Carex acutiformis × vesicaria;formula;Carex acutiformis
Carex acutiformis × vesicaria;florkart;Carex acutiformis × vesicaria;formula;Carex vesicaria
Carex × dufftii;florkart;Carex ×dufftii;name;NA
Carex echinata × elongata;florkart;Carex echinata × elongata;formula;Carex echinata
Carex echinata × elongata;florkart;Carex echinata × elongata;formula;Carex elongata
Carex echinata × remota;florkart;Carex echinata × remota;formula;Carex echinata
Carex echinata × remota;florkart;Carex echinata × remota;formula;Carex remota
Carex × elythrum;florkart;Carex ×elythrum;name;NA
Carex elytroides Fr.;florkart;Carex elytroides Fr.;formula;NA
Carex lasiocarpa × riparia;florkart;Carex lasiocarpa × riparia;formula;Carex lasiocarpa
Carex lasiocarpa × riparia;florkart;Carex lasiocarpa × riparia;formula;Carex riparia
Carex × figertii Asch. & Graebn.;florkart;Carex ×figertii Asch. & Graebn.;name;NA
Carex demissa × flava;florkart;Carex demissa × flava;formula;Carex demissa
Carex demissa × flava;florkart;Carex demissa × flava;formula;Carex flava
Carex demissa × lepidocarpa;florkart;Carex demissa × lepidocarpa;formula;Carex demissa
Carex demissa × lepidocarpa;florkart;Carex demissa × lepidocarpa;formula;Carex lepidocarpa
Carex demissa × viridula;florkart;Carex demissa × viridula;formula;Carex demissa
Carex demissa × viridula;florkart;Carex demissa × viridula;formula;Carex viridula
Carex flava × viridula;florkart;Carex flava × viridula;formula;Carex flava
Carex flava × viridula;florkart;Carex flava × viridula;formula;Carex viridula
Carex lepidocarpa × viridula;florkart;Carex lepidocarpa × viridula;formula;Carex lepidocarpa
Carex lepidocarpa × viridula;florkart;Carex lepidocarpa × viridula;formula;Carex viridula
Carex demissa × hostiana;florkart;Carex demissa × hostiana;formula;Carex demissa
Carex demissa × hostiana;florkart;Carex demissa × hostiana;formula;Carex hostiana
Carex dioica × echinata;florkart;Carex dioica × echinata;formula;Carex dioica
Carex dioica × echinata;florkart;Carex dioica × echinata;formula;Carex echinata
Carex × ilseana Ruhmer;florkart;Carex ×ilseana Ruhmer;name;NA
Carex involuta (Bab.) Syme;florkart;Carex involuta (Bab.) Syme;formula;NA
Carex × jaegeri;florkart;Carex ×jaegeri;name;NA
Carex pseudocyperus × rostrata;florkart;Carex pseudocyperus × rostrata;formula;Carex pseudocyperus
