id;verbatim;type;parent;parent_taxonID;edited;source
urn:lsid:ipni.org:names:1000688-1;Alopecurus × winklerianus Asch. & Graebn.;name;Alopecurus pratensis Trin.;urn:lsid:ipni.org:names:387177-1;Alopecurus ×winklerianus Asch. & Graebn.;ipni
urn:lsid:ipni.org:names:1000688-1;Alopecurus × winklerianus Asch. & Graebn.;name;Alopecurus fulvus Sm.;urn:lsid:ipni.org:names:387087-1;Alopecurus ×winklerianus Asch. & Graebn.;ipni
urn:lsid:ipni.org:names:1000776-1;Cistus canescens nothof. albens Demoly;name;Cistus canescens Sweet f. albus (O.E.Warb.) Demoly;urn:lsid:ipni.org:names:980094-1;Cistus canescens nothof. albens Demoly;ipni
urn:lsid:ipni.org:names:1000777-1;Cistus × escartianus Demoly;name;Cistus heterophyllus Desf.;urn:lsid:ipni.org:names:168294-1;Cistus ×escartianus Demoly;ipni
urn:lsid:ipni.org:names:1000777-1;Cistus × escartianus Demoly;name;Cistus creticus L.;urn:lsid:ipni.org:names:168230-1;Cistus ×escartianus Demoly;ipni
urn:lsid:ipni.org:names:1000778-1;Cistus × lucasii Demoly;name;Cistus creticus L.;urn:lsid:ipni.org:names:168230-1;Cistus ×lucasii Demoly;ipni
urn:lsid:ipni.org:names:1000778-1;Cistus × lucasii Demoly;name;Cistus chinamadensis Bañares & P.Romero;urn:lsid:ipni.org:names:958695-1;Cistus ×lucasii Demoly;ipni
urn:lsid:ipni.org:names:1000779-1;Cistus purpureus nothof. holorhodos Demoly;name;NA;NA;Cistus purpureus nothof. holorhodos Demoly;ipni
urn:lsid:ipni.org:names:1000780-1;Cistus × tephreus Demoly;name;Cistus heterophyllus Desf.;urn:lsid:ipni.org:names:168294-1;Cistus ×tephreus Demoly;ipni
urn:lsid:ipni.org:names:1000780-1;Cistus × tephreus Demoly;name;Cistus canescens Sweet;urn:lsid:ipni.org:names:168199-1;Cistus ×tephreus Demoly;ipni
urn:lsid:ipni.org:names:1000856-1;Chamaecytisus × versicolor (Dippel) Karlsson;name;NA;NA;Chamaecytisus ×versicolor (Dippel) Karlsson;ipni
urn:lsid:ipni.org:names:1001084-1;Globularia × losae L.Villar, J.A.Sesé & Ferrández;name;Globularia repens subsp. repens;urn:lsid:ipni.org:names:51011847-1;Globularia ×losae L.Villar, J.A.Sesé & Ferrández;ipni
urn:lsid:ipni.org:names:1001084-1;Globularia × losae L.Villar, J.A.Sesé & Ferrández;name;Globularia gracilis;urn:lsid:ipni.org:names:51011846-1;Globularia ×losae L.Villar, J.A.Sesé & Ferrández;ipni
urn:lsid:ipni.org:names:1001472-1;× Cleistocana mirabilis (Buining) D.R.Hunt;name;NA;NA;×Cleistocana mirabilis (Buining) D.R.Hunt;ipni
urn:lsid:ipni.org:names:1001650-1;Ophrys × kolymbiae G.Kretzschmar & H.Kretzschmar;name;Ophrys tenthredinifera Ten.;urn:lsid:ipni.org:names:648147-1;Ophrys ×kolymbiae G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001650-1;Ophrys × kolymbiae G.Kretzschmar & H.Kretzschmar;name;Ophrys lucis;urn:lsid:ipni.org:names:51007209-1;Ophrys ×kolymbiae G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001651-1;Ophrys × triadensis G.Kretzschmar & H.Kretzschmar;name;Ophrys tenthredinifera Ten.;urn:lsid:ipni.org:names:648147-1;Ophrys ×triadensis G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001651-1;Ophrys × triadensis G.Kretzschmar & H.Kretzschmar;name;Ophrys sicula Tineo;urn:lsid:ipni.org:names:648113-1;Ophrys ×triadensis G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001652-1;Ophrys × mirtiae G.Kretzschmar & H.Kretzschmar;name;Ophrys sicula Tineo;urn:lsid:ipni.org:names:648113-1;Ophrys ×mirtiae G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001652-1;Ophrys × mirtiae G.Kretzschmar & H.Kretzschmar;name;Ophrys speculum Link;urn:lsid:ipni.org:names:648125-1;Ophrys ×mirtiae G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001653-1;Ophrys × stefaniae G.Kretzschmar & H.Kretzschmar;name;Ophrys ferrum-equinum Desf.;urn:lsid:ipni.org:names:647891-1;Ophrys ×stefaniae G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001653-1;Ophrys × stefaniae G.Kretzschmar & H.Kretzschmar;name;Ophrys iricolor Desf.;urn:lsid:ipni.org:names:647949-1;Ophrys ×stefaniae G.Kretzschmar & H.Kretzschmar;ipni
urn:lsid:ipni.org:names:1001654-1;Ophrys × denglerensis Riech.;name;Ophrys lapethica Gölz & H.R.Reinhard;urn:lsid:ipni.org:names:938553-1;Ophrys ×denglerensis Riech.;ipni
urn:lsid:ipni.org:names:1001654-1;Ophrys × denglerensis Riech.;name;Ophrys kotschyi H.Fleischm. & Soó;urn:lsid:ipni.org:names:647958-1;Ophrys ×denglerensis Riech.;ipni
urn:lsid:ipni.org:names:1001668-1;Citrus × floridana (J.W.Ingram & H.E.Moore) Mabb.;name;NA;NA;Citrus ×floridana (J.W.Ingram & H.E.Moore) Mabb.;ipni
urn:lsid:ipni.org:names:1001669-1;Citrus × virgata Mabb.;name;Citrus australasica F.Muell.;urn:lsid:ipni.org:names:771856-1;Citrus ×virgata Mabb.;ipni
urn:lsid:ipni.org:names:1001669-1;Citrus × virgata Mabb.;name;Citrus australis Planch.;urn:lsid:ipni.org:names:771857-1;Citrus ×virgata Mabb.;ipni
urn:lsid:ipni.org:names:1001714-1;Teucrium × carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez;name;Teucrium balthazaris Sennen;urn:lsid:ipni.org:names:460259-1;Teucrium ×carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez;ipni
urn:lsid:ipni.org:names:1001714-1;Teucrium × carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez;name;Teucrium capitatum L. subsp. gracillimum (Rouy) Valdés Berm.;urn:lsid:ipni.org:names:884308-1;Teucrium ×carvalhoae A.F.Carrillo, A.Hern., Coy, Güemes & Sánchez-Gómez;ipni
urn:lsid:ipni.org:names:1001715-1;Thymus × herberoi De la Torre, Vicedo, M.Á.Alonso & Payá;name;Thymus zygis Brot. subsp. gracilis (Boiss.) R.Morales;urn:lsid:ipni.org:names:923933-1;Thymus ×herberoi De la Torre, Vicedo, M.Á.Alonso & Payá;ipni
urn:lsid:ipni.org:names:1001715-1;Thymus × herberoi De la Torre, Vicedo, M.Á.Alonso & Payá;name;Thymus moroderi Pau ex Martinez;urn:lsid:ipni.org:names:461439-1;Thymus ×herberoi De la Torre, Vicedo, M.Á.Alonso & Payá;ipni
urn:lsid:ipni.org:names:1001745-1;Nothofagus apiculata nothovar. blairii (Kirk) Govaerts;name;NA;NA;Nothofagus apiculata nothovar. blairii (Kirk) Govaerts;ipni
urn:lsid:ipni.org:names:1001746-1;Nothofagus apiculata nothovar. dubia (Kirk) Govaerts;name;NA;NA;Nothofagus apiculata nothovar. dubia (Kirk) Govaerts;ipni
urn:lsid:ipni.org:names:1001748-1;Quercus macnabiana nothovar. mahonii (E.J.Palmer) Govaerts;name;NA;NA;Quercus macnabiana nothovar. mahonii (E.J.Palmer) Govaerts;ipni
urn:lsid:ipni.org:names:1001809-1;Potamogeton × biformoides Papch.;name;Potamogeton biformis Hagstr.;urn:lsid:ipni.org:names:699645-1;Potamogeton ×biformoides Papch.;ipni
urn:lsid:ipni.org:names:1001809-1;Potamogeton × biformoides Papch.;name;Potamogeton graminifolius;urn:lsid:ipni.org:names:51012658-1;Potamogeton ×biformoides Papch.;ipni
urn:lsid:ipni.org:names:1001810-1;Potamogeton × mariensis Papch.;name;Potamogeton biformis Hagstr.;urn:lsid:ipni.org:names:699645-1;Potamogeton ×mariensis Papch.;ipni
urn:lsid:ipni.org:names:1001810-1;Potamogeton × mariensis Papch.;name;Potamogeton nodosus;urn:lsid:ipni.org:names:50882353-1;Potamogeton ×mariensis Papch.;ipni
urn:lsid:ipni.org:names:1001887-1;Citrus × limodulcis D.Rivera, Obón, F.Méndez & S.Ríos;name;Citrus limon?;urn:lsid:ipni.org:names:51012759-1;Citrus ×limodulcis D.Rivera, Obón, F.Méndez & S.Ríos;ipni
urn:lsid:ipni.org:names:1001887-1;Citrus × limodulcis D.Rivera, Obón, F.Méndez & S.Ríos;name;Citrus limetta Risso subsp. limetta;urn:lsid:ipni.org:names:51012758-1;Citrus ×limodulcis D.Rivera, Obón, F.Méndez & S.Ríos;ipni
urn:lsid:ipni.org:names:1001888-1;Citrus × limorosea D.Rivera, F.Méndez, Obón & S.Ríos;name;Citrus aurantiifolia (Christm.) Swingle;urn:lsid:ipni.org:names:771851-1;Citrus ×limorosea D.Rivera, F.Méndez, Obón & S.Ríos;ipni
urn:lsid:ipni.org:names:1001888-1;Citrus × limorosea D.Rivera, F.Méndez, Obón & S.Ríos;name;Citrus bergamia?;urn:lsid:ipni.org:names:51012761-1;Citrus ×limorosea D.Rivera, F.Méndez, Obón & S.Ríos;ipni
urn:lsid:ipni.org:names:1001897-1;× Citrofortunella madurensis (Lour.) D.Rivera, Obón, S.Ríos, Selma, F.Méndez, Verde & F.Cano;name;NA;NA;×Citrofortunella madurensis (Lour.) D.Rivera, Obón, S.Ríos, Selma, F.Méndez, Verde & F.Cano;ipni
urn:lsid:ipni.org:names:1002094-1;Cerasus × katonis H.Ohba;name;Cerasus maximowiczii;urn:lsid:ipni.org:names:51012992-1;Cerasus ×katonis H.Ohba;ipni
urn:lsid:ipni.org:names:1002094-1;Cerasus × katonis H.Ohba;name;Cerasus sargentii (Rehder) H.Ohba;urn:lsid:ipni.org:names:969577-1;Cerasus ×katonis H.Ohba;ipni
urn:lsid:ipni.org:names:1002096-1;Cerasus × furuseana nothovar. pseudaffinis (Kawas.) H.Ohba;name;NA;NA;Cerasus ×furuseana nothovar. pseudaffinis (Kawas.) H.Ohba;ipni
urn:lsid:ipni.org:names:1002097-1;Cerasus × oneyamensis (Hayashi) H.Ohba;name;NA;NA;Cerasus ×oneyamensis (Hayashi) H.Ohba;ipni
urn:lsid:ipni.org:names:1002098-1;Cerasus × oneyamensis nothovar. takasawana (H.Kubota & Funatsu) H.Ohba;name;NA;NA;Cerasus ×oneyamensis nothovar. takasawana (H.Kubota & Funatsu) H.Ohba;ipni
urn:lsid:ipni.org:names:1002156-1;Herniaria × montenegrina Pérez Dacosta & Mateo;name;Herniaria glabra L. var. glabra;urn:lsid:ipni.org:names:51013068-1;Herniaria ×montenegrina Pérez Dacosta & Mateo;ipni
urn:lsid:ipni.org:names:1002156-1;Herniaria × montenegrina Pérez Dacosta & Mateo;name;Herniaria latifolia Lapeyr.;urn:lsid:ipni.org:names:434811-1;Herniaria ×montenegrina Pérez Dacosta & Mateo;ipni
urn:lsid:ipni.org:names:1002445-1;× Gasteraloe sculptilis G.D.Rowley ex L.E.Newton;name;Gasteria cheilophylla;urn:lsid:ipni.org:names:51013453-1;×Gasteraloe sculptilis G.D.Rowley ex L.E.Newton;ipni
urn:lsid:ipni.org:names:1002445-1;× Gasteraloe sculptilis G.D.Rowley ex L.E.Newton;name;Aloe variegata L.;urn:lsid:ipni.org:names:530009-1;×Gasteraloe sculptilis G.D.Rowley ex L.E.Newton;ipni
urn:lsid:ipni.org:names:1002460-1;× Anacamptorchis lesbiensis Biel;name;Orchis sancta L.;urn:lsid:ipni.org:names:649100-1;×Anacamptorchis lesbiensis Biel;ipni
urn:lsid:ipni.org:names:1002460-1;× Anacamptorchis lesbiensis Biel;name;Anacamptis pyramidalis (L.) Rich.;urn:lsid:ipni.org:names:615773-1;×Anacamptorchis lesbiensis Biel;ipni
urn:lsid:ipni.org:names:1002534-1;Chamerion × prantlii (Dalla Torre & Sarnth.) Holub;name;NA;NA;Chamerion ×prantlii (Dalla Torre & Sarnth.) Holub;ipni
urn:lsid:ipni.org:names:1002540-1;Chrysocyathus × hybridus (Simonk.) Holub;name;NA;NA;Chrysocyathus ×hybridus (Simonk.) Holub;ipni
urn:lsid:ipni.org:names:1002567-1;Dactylorhiza braunii nothosubsp. lilacina (F.Proch.) Holub;name;NA;NA;Dactylorhiza braunii nothosubsp. lilacina (F.Proch.) Holub;ipni
urn:lsid:ipni.org:names:1002576-1;Filfia × mixta (Holuby) Holub;name;NA;NA;Filfia ×mixta (Holuby) Holub;ipni
urn:lsid:ipni.org:names:1002631-1;Ribularia × paui (Blanca) Holub;name;NA;NA;Ribularia ×paui (Blanca) Holub;ipni
urn:lsid:ipni.org:names:1002640-1;× Schedolium brinkmannii (A.Braun) Holub;name;NA;NA;×Schedolium brinkmannii (A.Braun) Holub;ipni
urn:lsid:ipni.org:names:1002641-1;× Schedolium holmbergii (Dörfl.) Holub;name;NA;NA;×Schedolium holmbergii (Dörfl.) Holub;ipni
urn:lsid:ipni.org:names:1002644-1;Schedonorus × aschersonianus (Dörfl.) Holub;name;NA;NA;Schedonorus ×aschersonianus (Dörfl.) Holub;ipni
urn:lsid:ipni.org:names:1002645-1;Schedonorus × fleischeri (Rohlena) Holub;name;NA;NA;Schedonorus ×fleischeri (Rohlena) Holub;ipni
urn:lsid:ipni.org:names:1002649-1;Schedonorus × schlickumii (Grantzow) Holub;name;NA;NA;Schedonorus ×schlickumii (Grantzow) Holub;ipni
urn:lsid:ipni.org:names:1002656-1;Swida × friedlanderi (W.H.Wagner) Holub;name;NA;NA;Swida ×friedlanderi (W.H.Wagner) Holub;ipni
urn:lsid:ipni.org:names:1002660-1;Tormimalus × florentina (Zuccagni) Holub;name;NA;NA;Tormimalus ×florentina (Zuccagni) Holub;ipni
urn:lsid:ipni.org:names:1002663-1;Trichera × hungarica (Borbás) Holub;name;NA;NA;Trichera ×hungarica (Borbás) Holub;ipni
urn:lsid:ipni.org:names:1002665-1;Trichera × leucantha (Schur) Holub;name;NA;NA;Trichera ×leucantha (Schur) Holub;ipni
urn:lsid:ipni.org:names:1002667-1;Trichera × posoniensis (Degen) Holub;name;NA;NA;Trichera ×posoniensis (Degen) Holub;ipni
urn:lsid:ipni.org:names:1002668-1;Trichera × sambucifolia (Godet) Holub;name;NA;NA;Trichera ×sambucifolia (Godet) Holub;ipni
urn:lsid:ipni.org:names:1002670-1;Trichera × speciosa (Schur) Holub;name;NA;NA;Trichera ×speciosa (Schur) Holub;ipni
urn:lsid:ipni.org:names:1002835-1;Knautia × hungarica Borbás;name;Knautia kitaibelii;urn:lsid:ipni.org:names:51013916-1;Knautia ×hungarica Borbás;ipni
urn:lsid:ipni.org:names:1002835-1;Knautia × hungarica Borbás;name;Knautia turocensis Szabó;urn:lsid:ipni.org:names:319502-1;Knautia ×hungarica Borbás;ipni
urn:lsid:ipni.org:names:1002836-1;Knautia × sambucifolia (Godet) Briq.;name;NA;NA;Knautia ×sambucifolia (Godet) Briq.;ipni
urn:lsid:ipni.org:names:1002837-1;Knautia × kohleri Briq.;name;Knautia godetii Reut.;urn:lsid:ipni.org:names:319379-1;Knautia ×kohleri Briq.;ipni
urn:lsid:ipni.org:names:1002837-1;Knautia × kohleri Briq.;name;Knautia arvensis Coult.;urn:lsid:ipni.org:names:319318-1;Knautia ×kohleri Briq.;ipni
urn:lsid:ipni.org:names:1002896-1;Dactylorhiza × braunii nothovar. lilacina F.Proch.;name;Dactylorhiza fuchsii (Druce) Soó subsp. fuchsii;urn:lsid:ipni.org:names:50913153-1;Dactylorhiza ×braunii nothovar. lilacina F.Proch.;ipni
urn:lsid:ipni.org:names:1002896-1;Dactylorhiza × braunii nothovar. lilacina F.Proch.;name;Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh. subsp. turfosa F.Proch.;urn:lsid:ipni.org:names:916932-1;Dactylorhiza ×braunii nothovar. lilacina F.Proch.;ipni
urn:lsid:ipni.org:names:1003076-1;Schedololium × brinkmannii (A.Braun) Soreng & Terrell;name;NA;NA;Schedololium ×brinkmannii (A.Braun) Soreng & Terrell;ipni
urn:lsid:ipni.org:names:1003077-1;Schedololium × holmbergii (Dörfl.) Soreng & Terrell;name;NA;NA;Schedololium ×holmbergii (Dörfl.) Soreng & Terrell;ipni
urn:lsid:ipni.org:names:1003079-1;Schedololium × nilssonii (Cugnac & A.Camus) Soreng & Terrell;name;NA;NA;Schedololium ×nilssonii (Cugnac & A.Camus) Soreng & Terrell;ipni
urn:lsid:ipni.org:names:1003266-1;Paphiopedilum × grussianum H.S.Hua;name;Paphiopedilum parishii (Rchb.f.) Stein var. dianthum (Tang & F.T.Wang) P.J.Cribb & C.Z.Tang;urn:lsid:ipni.org:names:2921241-1;Paphiopedilum ×grussianum H.S.Hua;ipni
urn:lsid:ipni.org:names:1003266-1;Paphiopedilum × grussianum H.S.Hua;name;Paphiopedilum hirsutissimum (Lindl. ex Hook.) Stein var. esquirolei (Schltr.) P.J.Cribb;urn:lsid:ipni.org:names:953454-1;Paphiopedilum ×grussianum H.S.Hua;ipni
urn:lsid:ipni.org:names:1003275-1;Carmichaelia × hutchinsii (M.D.Griffiths) Heenan;name;NA;NA;Carmichaelia ×hutchinsii (M.D.Griffiths) Heenan;ipni
urn:lsid:ipni.org:names:1003280-1;Raukaua × serratus (Kirk) Heenan;name;NA;NA;Raukaua ×serratus (Kirk) Heenan;ipni
urn:lsid:ipni.org:names:1003281-1;Raukaua × parvus (Kirk) Heenan;name;NA;NA;Raukaua ×parvus (Kirk) Heenan;ipni
urn:lsid:ipni.org:names:1003360-1;Anemone × gokayamensis M.Sugim., Tak.Sato & Naruh.;name;Anemone debilis Fisch. ex Turcz.;urn:lsid:ipni.org:names:708328-1;Anemone ×gokayamensis M.Sugim., Tak.Sato & Naruh.;ipni
urn:lsid:ipni.org:names:1003360-1;Anemone × gokayamensis M.Sugim., Tak.Sato & Naruh.;name;Anemone pseudoaltaica;urn:lsid:ipni.org:names:50985762-1;Anemone ×gokayamensis M.Sugim., Tak.Sato & Naruh.;ipni
urn:lsid:ipni.org:names:1003361-1;Tilia viridis nothosubsp. moltkei (Dippel) Xifreda;name;NA;NA;Tilia viridis nothosubsp. moltkei (Dippel) Xifreda;ipni
urn:lsid:ipni.org:names:1003612-1;Epipactis × bruxellensis P.Delforge;name;Epipactis phyllanthes G.E.Sm. var. degenera;urn:lsid:ipni.org:names:51014930-1;Epipactis ×bruxellensis P.Delforge;ipni
urn:lsid:ipni.org:names:1003612-1;Epipactis × bruxellensis P.Delforge;name;Epipactis helleborine (L.) Crantz;urn:lsid:ipni.org:names:633228-1;Epipactis ×bruxellensis P.Delforge;ipni
urn:lsid:ipni.org:names:1003613-1;Acer × verhaegheanum Geerinck;name;Acer platanoides L.;urn:lsid:ipni.org:names:781455-1;Acer ×verhaegheanum Geerinck;ipni
urn:lsid:ipni.org:names:1003613-1;Acer × verhaegheanum Geerinck;name;Acer cappadocicum Gled.;urn:lsid:ipni.org:names:56622-1;Acer ×verhaegheanum Geerinck;ipni
urn:lsid:ipni.org:names:1003621-1;Epipactis × gerbaudiorum P.Delforge;name;Epipactis provincialis Aubenas & Robatsch;urn:lsid:ipni.org:names:989594-1;Epipactis ×gerbaudiorum P.Delforge;ipni
urn:lsid:ipni.org:names:1003621-1;Epipactis × gerbaudiorum P.Delforge;name;Epipactis tremolsii Pau;urn:lsid:ipni.org:names:633351-1;Epipactis ×gerbaudiorum P.Delforge;ipni
urn:lsid:ipni.org:names:1003622-1;Epipactis × gevaudanii P.Delforge;name;Epipactis rhodanensis Gévaudan & Robatsch;urn:lsid:ipni.org:names:977238-1;Epipactis ×gevaudanii P.Delforge;ipni
urn:lsid:ipni.org:names:1003622-1;Epipactis × gevaudanii P.Delforge;name;Epipactis helleborine (L.) Crantz;urn:lsid:ipni.org:names:633228-1;Epipactis ×gevaudanii P.Delforge;ipni
urn:lsid:ipni.org:names:1003623-1;Ophrys × deheyniana P.Delforge;name;Ophrys bremifera Steven ex M.Bieb.;urn:lsid:ipni.org:names:647810-1;Ophrys ×deheyniana P.Delforge;ipni
urn:lsid:ipni.org:names:1003623-1;Ophrys × deheyniana P.Delforge;name;Ophrys thesei P.Delforge;urn:lsid:ipni.org:names:1003616-1;Ophrys ×deheyniana P.Delforge;ipni
urn:lsid:ipni.org:names:1003624-1;Ophrys × dessartiana P.Delforge;name;Ophrys parosica P.Delforge;urn:lsid:ipni.org:names:990703-1;Ophrys ×dessartiana P.Delforge;ipni
urn:lsid:ipni.org:names:1003624-1;Ophrys × dessartiana P.Delforge;name;Ophrys astypalaeica P.Delforge;urn:lsid:ipni.org:names:1003614-1;Ophrys ×dessartiana P.Delforge;ipni
