taxonID;Taxon;taxonName;taxonNameEdited;taxonNameEditedShort;taxonNameAuthors;taxonRank;isHybrid;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;taxonNameForGSL;keep;remark
pladias:4646;Ipomoea lacunosa;Ipomoea lacunosa L.;Ipomoea lacunosa L.;Ipomoea lacunosa;L.;species;NA;Ipomoea lacunosa L.;Ipomoea lacunosa L.;1;1;Ipomoea lacunosa;1;NA
pladias:3162;Ipomoea purpurea;Ipomoea purpurea (L.) Roth;Ipomoea purpurea (L.) Roth;Ipomoea purpurea;(L.) Roth;species;NA;Ipomoea purpurea (L.) Roth;Ipomoea purpurea (L.) Roth;32;25;Ipomoea purpurea;1;NA
pladias:2517;Iris aphylla;Iris aphylla L.;Iris aphylla L.;Iris aphylla;L.;species;NA;Iris aphylla L.;Iris aphylla L.;19;19;Iris aphylla;1;NA
pladias:2931;Iris aphylla subsp. aphylla;Iris aphylla subsp. aphylla;Iris aphylla subsp. aphylla;Iris aphylla subsp. aphylla;NA;subsp;NA;Iris aphylla L.;Iris aphylla L.;8;8;Iris aphylla subsp. aphylla;1;NA
pladias:4467;Iris arenaria;Iris arenaria Waldst. et Kit.;Iris arenaria Waldst. & Kit.;Iris arenaria;Waldst. & Kit.;species;NA;Iris arenaria Waldst. & Kit.;Iris arenaria Waldst. & Kit.;11;9;Iris arenaria;1;NA
pladias:2237;Iris ×germanica;Iris ×germanica L.;Iris germanica L.;Iris germanica;L.;species;TRUE;Iris germanica L.;Iris germanica L.;76;67;Iris germanica;1;hybrid with species treatment
pladias:3441;Iris graminea;Iris graminea L.;Iris graminea L.;Iris graminea;L.;species;NA;Iris graminea L.;Iris graminea L.;29;20;Iris graminea;1;NA
pladias:2238;Iris pallida;Iris pallida Lam.;Iris pallida Lam.;Iris pallida;Lam.;species;NA;Iris pallida Lam.;Iris pallida Lam.;3;3;Iris pallida;1;NA
pladias:166;Iris pseudacorus;Iris pseudacorus L.;Iris pseudacorus L.;Iris pseudacorus;L.;species;NA;Iris pseudacorus L.;Iris pseudacorus L.;572;526;Iris pseudacorus;1;NA
pladias:3332;Iris pumila;Iris pumila L.;Iris pumila L.;Iris pumila;L.;species;NA;Iris pumila L.;Iris pumila L.;31;27;Iris pumila;1;NA
pladias:3002;Iris ×sambucina;Iris ×sambucina L.;Iris sambucina L.;Iris sambucina;L.;species;TRUE;Iris sambucina L.;Iris sambucina L.;2;2;Iris sambucina s. l.;1;NA
pladias:1027;Iris sibirica;Iris sibirica L.;Iris sibirica L.;Iris sibirica;L.;species;NA;Iris sibirica L.;Iris sibirica L.;283;268;Iris sibirica;1;NA
pladias:4546;Iris spuria;Iris spuria L.;Iris spuria L.;Iris spuria;L.;species;NA;Iris spuria L.;Iris spuria L.;1;1;Iris spuria;0;extinct/missing
pladias:3874;Iris variegata;Iris variegata L.;Iris variegata L.;Iris variegata;L.;species;NA;Iris variegata L.;Iris variegata L.;42;35;Iris variegata;1;NA
pladias:2239;Iris versicolor;Iris versicolor L.;Iris versicolor L.;Iris versicolor;L.;species;NA;Iris versicolor L.;Iris versicolor L.;1;1;Iris versicolor;0;cultivated
pladias:1981;Isatis tinctoria;Isatis tinctoria L.;Isatis tinctoria L.;Isatis tinctoria;L.;species;NA;Isatis tinctoria L.;Isatis tinctoria L.;31;30;Isatis tinctoria;1;NA
pladias:2518;Isatis tinctoria subsp. tinctoria;Isatis tinctoria subsp. tinctoria;Isatis tinctoria subsp. tinctoria;Isatis tinctoria subsp. tinctoria;NA;subsp;NA;Isatis tinctoria L.;Isatis tinctoria L.;9;9;Isatis tinctoria subsp. tinctoria;1;NA
pladias:4624;Isoëtes echinospora;Isoëtes echinospora Durieu;Isoetes echinospora Durieu;Isoetes echinospora;Durieu;species;NA;Isoetes echinospora Durieu;Isoetes echinospora Durieu;1;NA;Isoetes echinospora;0;aquatic
pladias:4406;Isoëtes lacustris;Isoëtes lacustris L.;Isoetes lacustris L.;Isoetes lacustris;L.;species;NA;Isoetes lacustris L.;Isoetes lacustris L.;1;1;Isoetes lacustris;0;aquatic
pladias:535;Isolepis setacea;Isolepis setacea (L.) R. Br.;Isolepis setacea (L.) R.Br.;Isolepis setacea;(L.) R.Br.;species;NA;Isolepis setacea (L.) R.Br.;Isolepis setacea (L.) R.Br.;248;237;Isolepis setacea;1;NA
pladias:2140;Isopyrum thalictroides;Isopyrum thalictroides L.;Isopyrum thalictroides L.;Isopyrum thalictroides;L.;species;NA;Isopyrum thalictroides L.;Isopyrum thalictroides L.;190;166;Isopyrum thalictroides;1;NA
pladias:681;Senecio aquaticus;Senecio aquaticus Hill;Senecio aquaticus Hill;Senecio aquaticus;Hill;species;NA;Jacobaea aquatica (Hill) Gaertn.Mey. & Scherb.;Jacobaea aquatica (Hill) Gaertn.Mey. & Scherb.;224;215;Senecio aquaticus s. str.;1;NA
pladias:2265;Senecio erraticus;Senecio erraticus Bertol.;Senecio erraticus Bertol.;Senecio erraticus;Bertol.;species;NA;Jacobaea erratica Fourr.;Jacobaea erratica Fourr.;176;160;Senecio erraticus;1;NA
pladias:1105;Senecio erucifolius;Senecio erucifolius L.;Senecio erucifolius L.;Senecio erucifolius;L.;species;NA;Jacobaea erucifolia (L.) G.Gaertn. & al.;Jacobaea erucifolia (L.) G.Gaertn. & al.;121;117;Senecio erucifolius;1;NA
pladias:2736;Senecio paludosus;Senecio paludosus L.;Senecio paludosus L.;Senecio paludosus;L.;species;NA;Jacobaea paludosa (L.) Gaertn.Mey. & Scherb.;Jacobaea paludosa (L.) Gaertn.Mey. & Scherb.;38;35;Senecio paludosus;1;NA
pladias:3564;Senecio paludosus subsp. paludosus;Senecio paludosus subsp. paludosus;Senecio paludosus subsp. paludosus;Senecio paludosus subsp. paludosus;NA;subsp;NA;Jacobaea paludosa (L.) Gaertn.Mey. & Scherb.;Jacobaea paludosa (L.) Gaertn.Mey. & Scherb.;5;4;Senecio paludosus subsp. paludosus;1;NA
pladias:2398;Senecio subalpinus;Senecio subalpinus W. D. J. Koch;Senecio subalpinus W.D.J.Koch;Senecio subalpinus;W.D.J.Koch;species;NA;Jacobaea subalpina (W.D.J.Koch) Pelser & Veldkamp;Jacobaea subalpina (W.D.J.Koch) Pelser & Veldkamp;9;6;Senecio subalpinus;1;NA
