verbatim;edited;parent
Ophrys aranifera x Ophrys tenthredinifera subsp. ficalhoana;Ophrys aranifera × Ophrys tenthredinifera subsp. ficalhoana;Ophrys aranifera
Ophrys aranifera x Ophrys tenthredinifera subsp. ficalhoana;Ophrys aranifera × Ophrys tenthredinifera subsp. ficalhoana;Ophrys tenthredinifera subsp. ficalhoana
Ophrys speculum x Ophrys aranifera subsp. praecox;Ophrys speculum × Ophrys aranifera subsp. praecox;Ophrys speculum
Ophrys speculum x Ophrys aranifera subsp. praecox;Ophrys speculum × Ophrys aranifera subsp. praecox;Ophrys aranifera subsp. praecox
Potamogeton distinctus A. Benn. x P. nodosus Poir.;Potamogeton distinctus A. Benn. × P. nodosus Poir.;Potamogeton distinctus A. Benn.
Potamogeton distinctus A. Benn. x P. nodosus Poir.;Potamogeton distinctus A. Benn. × P. nodosus Poir.;Potamogeton nodosus Poir.
Sempervivum arachnoideum x montanum x tectorum L. x L. x L.;Sempervivum arachnoideum × montanum × tectorum;Sempervivum arachnoideum
Sempervivum arachnoideum x montanum x tectorum L. x L. x L.;Sempervivum arachnoideum × montanum × tectorum;Sempervivum montanum
Sempervivum arachnoideum x montanum x tectorum L. x L. x L.;Sempervivum arachnoideum × montanum × tectorum;Sempervivum tectorum
Thymus mastichina x vulgaris NULL;Thymus mastichina × vulgaris;Thymus mastichina
Thymus mastichina x vulgaris NULL;Thymus mastichina × vulgaris;Thymus vulgaris
Thymus mastichina x granatensis NULL;Thymus mastichina × granatensis;Thymus mastichina
Thymus mastichina x granatensis NULL;Thymus mastichina × granatensis;Thymus granatensis
Salix cinerea x myrsinifolia NULL;Salix cinerea × myrsinifolia;Salix cinerea
Salix cinerea x myrsinifolia NULL;Salix cinerea × myrsinifolia;Salix myrsinifolia
Salix myrsinifolia x phylicifolia NULL;Salix myrsinifolia × phylicifolia;Salix myrsinifolia
Salix myrsinifolia x phylicifolia NULL;Salix myrsinifolia × phylicifolia;Salix phylicifolia
Salix myrsinifolia x myrsinites NULL;Salix myrsinifolia × myrsinites;Salix myrsinifolia
Salix myrsinifolia x myrsinites NULL;Salix myrsinifolia × myrsinites;Salix myrsinites
Salix atrocinerea x myrsinifolia NULL;Salix atrocinerea × myrsinifolia;Salix atrocinerea
Salix atrocinerea x myrsinifolia NULL;Salix atrocinerea × myrsinifolia;Salix myrsinifolia
Polygonum persicaria x lapathifolium NULL;Polygonum persicaria × lapathifolium;Polygonum persicaria
Polygonum persicaria x lapathifolium NULL;Polygonum persicaria × lapathifolium;Polygonum lapathifolium
Rumex hydrolapathum x obtusifolius NULL;Rumex hydrolapathum × obtusifolius;Rumex hydrolapathum
Rumex hydrolapathum x obtusifolius NULL;Rumex hydrolapathum × obtusifolius;Rumex obtusifolius
Quercus canariensis x pubescens NULL;Quercus canariensis × pubescens;Quercus canariensis
Quercus canariensis x pubescens NULL;Quercus canariensis × pubescens;Quercus pubescens
Polygonum persicaria x mite NULL;Polygonum persicaria × mite;Polygonum persicaria
Polygonum persicaria x mite NULL;Polygonum persicaria × mite;Polygonum mite
Populus tremuloides x tremula NULL;Populus tremuloides × tremula;Populus tremuloides
Populus tremuloides x tremula NULL;Populus tremuloides × tremula;Populus tremula
Betula pendula x pubescens NULL;Betula pendula × pubescens;Betula pendula
Betula pendula x pubescens NULL;Betula pendula × pubescens;Betula pubescens
Salix myrsinites x glauca NULL;Salix myrsinites × glauca;Salix myrsinites
Salix myrsinites x glauca NULL;Salix myrsinites × glauca;Salix glauca
Carduus argemone ssp. obtusisquamus x nutans ssp. nutans NULL;Carduus argemone subsp. obtusisquamus × nutans subsp. nutans;Carduus argemone subsp. obtusisquamus
Carduus argemone ssp. obtusisquamus x nutans ssp. nutans NULL;Carduus argemone subsp. obtusisquamus × nutans subsp. nutans;Carduus nutans subsp. nutans
Juncus filiformis x arcticus NULL;Juncus filiformis × arcticus;Juncus filiformis
Juncus filiformis x arcticus NULL;Juncus filiformis × arcticus;Juncus arcticus
Juncus alpinus x articulatus NULL;Juncus alpinus × articulatus;Juncus alpinus
Juncus alpinus x articulatus NULL;Juncus alpinus × articulatus;Juncus articulatus
x Festulolium Festuca arundinacea x Lolium multiflorum NULL;× Festulolium Festuca arundinacea × Lolium multiflorum;Festulolium Festuca arundinacea
x Festulolium Festuca arundinacea x Lolium multiflorum NULL;× Festulolium Festuca arundinacea × Lolium multiflorum;Lolium multiflorum
x Festulolium Festuca gigantea x Lolium multiflorum NULL;× Festulolium Festuca gigantea × Lolium multiflorum;Festulolium Festuca gigantea
x Festulolium Festuca gigantea x Lolium multiflorum NULL;× Festulolium Festuca gigantea × Lolium multiflorum;Lolium multiflorum
Lolium perenne x rigidum NULL;Lolium perenne × rigidum;Lolium perenne
Lolium perenne x rigidum NULL;Lolium perenne × rigidum;Lolium rigidum
Lolium perenne x remotum NULL;Lolium perenne × remotum;Lolium perenne
Lolium perenne x remotum NULL;Lolium perenne × remotum;Lolium remotum
Lolium multiflorum x temulentum NULL;Lolium multiflorum × temulentum;Lolium multiflorum
Lolium multiflorum x temulentum NULL;Lolium multiflorum × temulentum;Lolium temulentum
Lolium multiflorum x remotum NULL;Lolium multiflorum × remotum;Lolium multiflorum
Lolium multiflorum x remotum NULL;Lolium multiflorum × remotum;Lolium remotum
Elymus caninus x mutabilis NULL;Elymus caninus × mutabilis;Elymus caninus
Elymus caninus x mutabilis NULL;Elymus caninus × mutabilis;Elymus mutabilis
Elymus caninus x alaskanus ssp. scandicus NULL;Elymus caninus × alaskanus subsp. scandicus;Elymus caninus
Elymus caninus x alaskanus ssp. scandicus NULL;Elymus caninus × alaskanus subsp. scandicus;Elymus alaskanus subsp. scandicus
Alopecurus arundinaceus x pratensis NULL;Alopecurus arundinaceus × pratensis;Alopecurus arundinaceus
Alopecurus arundinaceus x pratensis NULL;Alopecurus arundinaceus × pratensis;Alopecurus pratensis
Schoenus nigricans x ferrugineus NULL;Schoenus nigricans × ferrugineus;Schoenus nigricans
