taxon_id;url;ecoflora_latin_name;taxon_name_canonical;hybrid_formula;ecoflora_author;ecoflora_family;ecoflora_english_name;ecoflora_plant_number;ecoflora_welsh_name;ecoflora_irish_name;taxon_name_authors;taxon_name;taxon_name_from_url;is_hybrid;taxon_id_accepted;taxon_name_accepted;taxon_name_canonical_accepted;date;contributor
ecoflora:610110110;http://ecoflora.org.uk/search_species2.php?plant_no=610110110;Aconitum napellus;Aconitum napellus;NA;L.;Ranunculaceae;Monkshood;610110110;Cwcwll y Mynach;NA;L.;Aconitum napellus L.;Aconitum anglicum;FALSE;gbif:3033665;Aconitum napellus L.;Aconitum napellus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:610110110;http://ecoflora.org.uk/search_species2.php?plant_no=610110110;Aconitum napellus;Aconitum napellus;NA;L.;Ranunculaceae;Monkshood;610110110;Cwcwll y Mynach;NA;L.;Aconitum napellus L.;Aconitum napellus;FALSE;gbif:3033665;Aconitum napellus L.;Aconitum napellus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920007135;http://ecoflora.org.uk/search_species2.php?plant_no=920007135;Aconitum lycoctonum subsp. vulparia;Aconitum lycoctonum subsp. vulparia;NA;(Rchb.) Nyman;Ranunculaceae;NA;920007135;NA;NA;(Rchb.) Nyman;Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman;Aconitum lycoctonum subsp. vulparia;FALSE;gbif:3923253;Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman;Aconitum lycoctonum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920002985;http://ecoflora.org.uk/search_species2.php?plant_no=920002985;Aconitum x cammarum = A. napellus x A. variegatum;Aconitum x cammarum;A. napellus x A. variegatum;L.;Ranunculaceae;Hybrid Monk's-hood;920002985;NA;NA;L.;Aconitum x cammarum L.;Aconitum x cammarum = A. napellus x A. variegatum;TRUE;gbif:9159238;Aconitum nasutum subsp. paniculatum (Arcang.) Greuter & Burdet;Aconitum nasutum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1950010010;http://ecoflora.org.uk/search_species2.php?plant_no=1950010010;Acorus calamus;Acorus calamus;NA;L.;Araceae;Sweet-flag;1950010010;NA;NA;L.;Acorus calamus L.;Acorus calamus;FALSE;gbif:2873769;Acorus calamus L.;Acorus calamus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920004517;http://ecoflora.org.uk/search_species2.php?plant_no=920004517;Acorus gramineus;Acorus gramineus;NA;Aiton;Araceae;Slender Sweet-flag;920004517;NA;NA;Aiton;Acorus gramineus Aiton;Acorus gramineus;FALSE;gbif:2873807;Acorus gramineus Aiton;Acorus gramineus;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1691360010;http://ecoflora.org.uk/search_species2.php?plant_no=1691360010;Acroptilon repens;Acroptilon repens;NA;(L.) DC.;Asteraceae;Russian Knapweed;1691360010;NA;NA;(L.) DC.;Acroptilon repens (L.) DC.;Acroptilon repens;FALSE;gbif:3142208;Rhaponticum repens (L.) Hidalgo;Rhaponticum repens;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:610080010;http://ecoflora.org.uk/search_species2.php?plant_no=610080010;Actaea spicata;Actaea spicata;NA;L.;Ranunculaceae;Baneberry;610080010;NA;NA;L.;Actaea spicata L.;Actaea spicata;FALSE;gbif:5371473;Actaea spicata L.;Actaea spicata;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:9006001;http://ecoflora.org.uk/search_species2.php?plant_no=9006001;Adiantum capillus-veneris;Adiantum capillus-veneris;NA;L.;Adiantaceae;Maidenhair Fern;9006001;NA;NA;L.;Adiantum capillus-veneris L.;Adiantum capillus-veneris;FALSE;gbif:2651816;Adiantum capillus-veneris L.;Adiantum capillus-veneris;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:610180070;http://ecoflora.org.uk/search_species2.php?plant_no=610180070;Adonis annua;Adonis annua;NA;L.;Ranunculaceae;Pheasant's-eye;610180070;Llygad y Goediar Gwanwynol;NA;L.;Adonis annua L.;Adonis annua;FALSE;gbif:5371709;Adonis annua L.;Adonis annua;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1650010010;http://ecoflora.org.uk/search_species2.php?plant_no=1650010010;Adoxa moschatellina;Adoxa moschatellina;NA;L.;Adoxaceae;Moschatel;1650010010;Mysglys;NA;L.;Adoxa moschatellina L.;Adoxa moschatellina;FALSE;gbif:2888794;Adoxa moschatellina L.;Adoxa moschatellina;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1290260010;http://ecoflora.org.uk/search_species2.php?plant_no=1290260010;Aegopodium podagraria;Aegopodium podagraria;NA;L.;Apiaceae;Ground-elder;1290260010;NA;NA;L.;Aegopodium podagraria L.;Aegopodium podagraria;FALSE;gbif:3034620;Aegopodium podagraria L.;Aegopodium podagraria;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920007137;http://ecoflora.org.uk/search_species2.php?plant_no=920007137;Aeonium cuneatum;Aeonium cuneatum;NA;Webb & Berthel.;Crassulaceae;Aeonium;920007137;NA;NA;Webb & Berthel.;Aeonium cuneatum Webb & Berthel.;Aeonium cuneatum;FALSE;gbif:4198315;Aeonium cuneatum Webb & Berthel.;Aeonium cuneatum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920002420;http://ecoflora.org.uk/search_species2.php?plant_no=920002420;Aesculus carnea;Aesculus carnea;NA;J. Zeyh.;Sapindaceae;Red Horse-chestnut;920002420;NA;NA;J. Zeyh.;Aesculus carnea J. Zeyh.;Aesculus carnea;FALSE;gbif:8213000;Aesculus ×carnea Zeyh.;Aesculus carnea;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:970010010;http://ecoflora.org.uk/search_species2.php?plant_no=970010010;Aesculus hippocastanum;Aesculus hippocastanum;NA;L.;Sapindaceae;Horse-chestnut;970010010;NA;NA;L.;Aesculus hippocastanum L.;Aesculus hippocastanum;FALSE;gbif:3189815;Aesculus hippocastanum L.;Aesculus hippocastanum;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920003316;http://ecoflora.org.uk/search_species2.php?plant_no=920003316;Aesculus indica;Aesculus indica;NA;(Cambess.) Hook.;Sapindaceae;Indian Horse-chestnut;920003316;NA;NA;(Cambess.) Hook.;Aesculus indica (Cambess.) Hook.;Aesculus indica;FALSE;gbif:8566446;Aesculus indica (Colebr. ex Cambess.) Hook.;Aesculus indica;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1290350010;http://ecoflora.org.uk/search_species2.php?plant_no=1290350010;Aethusa cynapium;Aethusa cynapium;NA;L.;Apiaceae;Fool's Parsley;1290350010;NA;Peirsil amaide;L.;Aethusa cynapium L.;Aethusa cynapium;FALSE;gbif:5371825;Aethusa cynapium L.;Aethusa cynapium;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:920000021;http://ecoflora.org.uk/search_species2.php?plant_no=920000021;Aethusa cynapium subsp. agrestis;Aethusa cynapium subsp. agrestis;NA;(Wallr.) Dostál;Apiaceae;NA;920000021;NA;NA;(Wallr.) Dostál;Aethusa cynapium subsp. agrestis (Wallr.) Dostál;Aethusa cynapium subsp. agrestis;FALSE;gbif:6307891;Aethusa cynapium subsp. agrestis (Wallr.) Dostál;Aethusa cynapium;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1830370010;http://ecoflora.org.uk/search_species2.php?plant_no=1830370010;Agapanthus praecox;Agapanthus praecox;NA;Willd.;Amaryllidaceae;African Lily;1830370010;NA;NA;Willd.;Agapanthus praecox Willd.;Agapanthus praecox;FALSE;gbif:2854755;Agapanthus praecox Willd.;Agapanthus praecox;Mon Sep 13 18:51:48 2021;Marina Golivets
ecoflora:1840010010;http://ecoflora.org.uk/search_species2.php?plant_no=1840010010;Agave americana;Agave americana;NA;L.;Asparagaceae;Centuryplant;1840010010;NA;NA;L.;Agave americana L.;Agave americana;FALSE;gbif:2767031;Agave americana L.;Agave americana;Mon Sep 13 18:51:48 2021;Marina Golivets
