verbatim;edited;parent
Asplenium eberlei;Asplenium eberlei;NA
Asplenium × murbeckii Dörfl.;Asplenium × murbeckii Dörfl.;NA
Asplenium trichomanes × viride;Asplenium trichomanes × viride;Asplenium trichomanes
Asplenium trichomanes × viride;Asplenium trichomanes × viride;Asplenium viride
Asplenium trichomanes subsp. hastatum × A. quadrivalens;Asplenium trichomanes subsp. hastatum × A. quadrivalens;Asplenium trichomanes subsp. hastatum
Asplenium trichomanes subsp. hastatum × A. quadrivalens;Asplenium trichomanes subsp. hastatum × A. quadrivalens;Asplenium  quadrivalens
Asplenium trichomanes subsp. hastatum × A. pachyrachis;Asplenium trichomanes subsp. hastatum × A. pachyrachis;Asplenium trichomanes subsp. hastatum
Asplenium trichomanes subsp. hastatum × A. pachyrachis;Asplenium trichomanes subsp. hastatum × A. pachyrachis;Asplenium  pachyrachis
Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;Asplenium trichomanes subsp. pachyrachis
Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;Asplenium trichomanes subsp. pachyrachis × A. quadrivalens;Asplenium  quadrivalens
Asplenium trichomanes subsp. quadrivalens × A. viride;Asplenium trichomanes subsp. quadrivalens × A. viride;Asplenium trichomanes subsp. quadrivalens
Asplenium trichomanes subsp. quadrivalens × A. viride;Asplenium trichomanes subsp. quadrivalens × A. viride;Asplenium  viride
Asplenium cuneifolium × viride;Asplenium cuneifolium × viride;Asplenium cuneifolium
Asplenium cuneifolium × viride;Asplenium cuneifolium × viride;Asplenium viride
Astilbe × arendsii;Astilbe × arendsii;NA
Athyrium × reichsteinii Schneller & Rasbach;Athyrium × reichsteinii Schneller & Rasbach;NA
Atriplex longipes × prostrata;Atriplex longipes × prostrata;Atriplex longipes
Atriplex longipes × prostrata;Atriplex longipes × prostrata;Atriplex prostrata
Atriplex northusana Wein;Atriplex northusana Wein;NA
Avena fatua × sativa;Avena fatua × sativa;Avena fatua
Avena fatua × sativa;Avena fatua × sativa;Avena sativa
Avena vilis Wallr.;Avena vilis Wallr.;NA
Barbarea arcuata × stricta;Barbarea arcuata × stricta;Barbarea arcuata
Barbarea arcuata × stricta;Barbarea arcuata × stricta;Barbarea stricta
Barbarea stricta × vulgaris;Barbarea stricta × vulgaris;Barbarea stricta
Barbarea stricta × vulgaris;Barbarea stricta × vulgaris;Barbarea vulgaris
Barbarea arcuata × vulgaris;Barbarea arcuata × vulgaris;Barbarea arcuata
Barbarea arcuata × vulgaris;Barbarea arcuata × vulgaris;Barbarea vulgaris
Mahonia × wagneri (Jouin) Rehder;Mahonia × wagneri (Jouin) Rehder;NA
Mahonia × decumbens Stace;Mahonia × decumbens Stace;NA
Berberis rubrostilla Chitt.;Berberis rubrostilla Chitt.;NA
Betula pendula × pubescens;Betula pendula × pubescens;Betula pendula
Betula pendula × pubescens;Betula pendula × pubescens;Betula pubescens
Betula obscura Kotula;Betula obscura Kotula;NA
Betula humilis × pendula;Betula humilis × pendula;Betula humilis
Betula humilis × pendula;Betula humilis × pendula;Betula pendula
Betula humilis × pendula × pubescens;Betula humilis × pendula × pubescens;Betula humilis
Betula humilis × pendula × pubescens;Betula humilis × pendula × pubescens;Betula pendula
Betula humilis × pendula × pubescens;Betula humilis × pendula × pubescens;Betula pubescens
Betula humilis × pubescens;Betula humilis × pubescens;Betula humilis
Betula humilis × pubescens;Betula humilis × pubescens;Betula pubescens
Bidens × polakii Velen.;Bidens × polakii Velen.;NA
Bolboschoenus laticarpus Marhold, Hroudová, Ducháček & Zákr.;Bolboschoenus laticarpus Marhold, Hroudová, Ducháček & Zákr.;NA
Bromus hordeaceus × racemosus;Bromus hordeaceus × racemosus;Bromus hordeaceus
Bromus hordeaceus × racemosus;Bromus hordeaceus × racemosus;Bromus racemosus
Calamagrostis × acutiflora (Schrad.) Rchb.;Calamagrostis × acutiflora (Schrad.) Rchb.;NA
Calamagrostis arundinacea × varia;Calamagrostis arundinacea × varia;Calamagrostis arundinacea
Calamagrostis arundinacea × varia;Calamagrostis arundinacea × varia;Calamagrostis varia
Calamagrostis arundinacea × villosa;Calamagrostis arundinacea × villosa;Calamagrostis arundinacea
Calamagrostis arundinacea × villosa;Calamagrostis arundinacea × villosa;Calamagrostis villosa
Calamagrostis × bihariensis Simonk.;Calamagrostis × bihariensis Simonk.;NA
Calamagrostis canescens × phragmitoides;Calamagrostis canescens × phragmitoides;Calamagrostis canescens
Calamagrostis canescens × phragmitoides;Calamagrostis canescens × phragmitoides;Calamagrostis phragmitoides
Calamagrostis canescens ×  purpurea ?;Calamagrostis canescens × purpurea;Calamagrostis canescens
Calamagrostis canescens ×  purpurea ?;Calamagrostis canescens × purpurea;Calamagrostis purpurea
Calamagrostis canescens × villosa;Calamagrostis canescens × villosa;Calamagrostis canescens
Calamagrostis canescens × villosa;Calamagrostis canescens × villosa;Calamagrostis villosa
Calamagrostis epigejos × pseudophragmites;Calamagrostis epigejos × pseudophragmites;Calamagrostis epigejos
Calamagrostis epigejos × pseudophragmites;Calamagrostis epigejos × pseudophragmites;Calamagrostis pseudophragmites
Calamagrostis epigejos × villosa;Calamagrostis epigejos × villosa;Calamagrostis epigejos
