NAMNR;taxonID;taxonName;taxonRank;isHybrid;taxonNameEdited;taxonNameEditedShort;taxonNameEditedAuthors;higherTaxonID;acceptedTaxonName;acceptedHigherTaxonName;countRaw;countFiltered;keep;remark;taxonNameForGSL;isAquatic
7303;floraweb:7303;Arabis collina Ten.;species;FALSE;Arabis collina Ten.;Arabis collina;Ten.;floraweb:7303;Arabis collina Ten.;Arabis collina Ten.;3;2;1;;Arabis collina;
20072;floraweb:20072;Arabis nemorensis J. P. Wolff ex W. D. J. Koch;species;FALSE;Arabis nemorensis J.P.Wolff ex W.D.J.Koch;Arabis nemorensis;J.P.Wolff ex W.D.J.Koch;floraweb:20072;Arabis planisiliqua (Pers.) Rchb.;Arabis hirsuta agg.;112;55;1;;Arabis nemorensis;
20506;floraweb:20506;Arabis sudetica Tausch;species;FALSE;Arabis sudetica Tausch;Arabis sudetica;Tausch;floraweb:20506;Arabis sudetica Tausch;Arabis hirsuta agg.;0;0;0;absent in DE;Arabis sudetica;
521;floraweb:521;Arabis hirsuta agg.;agg;FALSE;NA;NA;NA;floraweb:521;Arabis hirsuta agg.;Arabis hirsuta agg.;1364;1190;1;;Arabis hirsuta agg.;
523;floraweb:523;Arabis hirsuta (L.) Scop.;species;FALSE;Arabis hirsuta (L.) Scop.;Arabis hirsuta;(L.) Scop.;floraweb:523;Arabis hirsuta (L.) Scop.;Arabis hirsuta agg.;1003;871;1;;Arabis hirsuta;
526;floraweb:526;Arabis sagittata (Bertol.) DC.;species;FALSE;Arabis sagittata (Bertol.) DC.;Arabis sagittata;(Bertol.) DC.;floraweb:526;Arabis sagittata (Bertol.) DC.;Arabis hirsuta agg.;139;70;1;;Arabis sagittata;
35072;floraweb:35072;Arabis nova Vill.;species;FALSE;Arabis nova Vill.;Arabis nova;Vill.;floraweb:35072;Arabis nova Vill.;Arabis nova Vill.;0;0;0;absent in DE;Arabis nova;
26305;floraweb:26305;Arabis procurrens Waldst. et Kit.;species;FALSE;Arabis procurrens Waldst. & Kit.;Arabis procurrens;Waldst. & Kit.;floraweb:26305;Arabis procurrens Waldst. & Kit.;Arabis procurrens Waldst. & Kit.;7;7;1;;Arabis procurrens;
11925;floraweb:11925;Arabis pumila Jacq.;species;FALSE;Arabis pumila Jacq.;Arabis pumila;Jacq.;floraweb:11925;Arabis pumila Jacq.;Arabis pumila agg.;7;3;1;;Arabis pumila;
11926;floraweb:11926;Arabis pumila subsp. pumila;subsp;FALSE;Arabis pumila subsp. pumila;Arabis pumila subsp. pumila;NA;floraweb:11925;Arabis pumila Jacq.;Arabis pumila agg.;3;1;1;;Arabis pumila subsp. pumila;
20533;floraweb:20533;Arabis stellulata Bertol.;species;FALSE;Arabis stellulata Bertol.;Arabis stellulata;Bertol.;floraweb:20533;Arabis stellulata Desv. & Berthel.;Arabis pumila agg.;42;13;1;;Arabis stellulata;
27651;floraweb:27651;Arabis bellidifolia agg.;agg;FALSE;NA;NA;NA;floraweb:27651;Arabis bellidifolia agg.;Arabis pumila agg.;59;26;1;;Arabis bellidifolia agg.;
27843;floraweb:27843;Arabis bellidifolia Crantz, s. str.;species;FALSE;Arabis bellidifolia Crantz;Arabis bellidifolia;Crantz;floraweb:27843;Arabis pumila Jacq.;Arabis pumila agg.;28;10;1;;Arabis bellidifolia s. str.;
537;floraweb:537;Arabis scabra All.;species;FALSE;Arabis scabra All.;Arabis scabra;All.;floraweb:537;Arabis scabra All.;Arabis scabra All.;0;0;0;absent in DE;Arabis scabra;
539;floraweb:539;Arabis serpillifolia Vill.;species;FALSE;Arabis serpillifolia Vill.;Arabis serpillifolia;Vill.;floraweb:539;Arabis serpyllifolia Vill.;Arabis serpyllifolia Vill.;7;5;1;;Arabis serpillifolia;
540;floraweb:540;Arabis soyeri subsp. subcoriacea (Gren.) Breistr.;subsp;FALSE;Arabis soyeri subsp. subcoriacea (Gren.) Breistr.;Arabis soyeri subsp. subcoriacea;(Gren.) Breistr.;floraweb:6616;Arabis soyeri subsp. subcoriacea (Gren. ex Nyman) Breistr.;Arabis soyeri Reut. & A.Huet;47;25;1;;Arabis soyeri subsp. subcoriacea;
6616;floraweb:6616;Arabis soyeri Reut. & A. Huet;species;FALSE;Arabis soyeri Reut. & A.Huet;Arabis soyeri;Reut. & A.Huet;floraweb:6616;Arabis soyeri Reut. & A.Huet;Arabis soyeri Reut. & A.Huet;47;25;1;;Arabis soyeri;
30377;floraweb:30377;Aralia chinensis L.;species;FALSE;Aralia chinensis L.;Aralia chinensis;L.;floraweb:30377;Aralia chinensis L.;Aralia chinensis L.;1;1;1;;Aralia chinensis;
30296;floraweb:30296;Aralia elata;species;FALSE;Aralia elata (Miq.) Seem.;Aralia elata;(Miq.) Seem.;floraweb:30296;Aralia elata (Miq.) Seem.;Aralia elata (Miq.) Seem.;1;1;1;;Aralia elata;
