verbatim;parent;edited
Hebe x franciscana (Eastw.) Souster;Hebe elliptica;Hebe × franciscana (Eastw.) Souster
Hebe x franciscana (Eastw.) Souster;Hebe speciosa;Hebe × franciscana (Eastw.) Souster
Hebe x lewisii (J.B. Armstr.) A. Wall;Hebe salicifolia;Hebe × lewisii (J.B. Armstr.) A. Wall
Hebe x lewisii (J.B. Armstr.) A. Wall;Hebe elliptica;Hebe × lewisii (J.B. Armstr.) A. Wall
Helianthus rigidus x tuberosus;Helianthus rigidus;Helianthus rigidus × tuberosus
Helianthus rigidus x tuberosus;Helianthus tuberosus;Helianthus rigidus × tuberosus
Helianthus x multiflorus L.;Helianthus annuus;Helianthus × multiflorus L.
Helianthus x multiflorus L.;Helianthus decapetalus;Helianthus × multiflorus L.
Heracleum sphondylium x mantegazzianum;Heracleum sphondylium;Heracleum sphondylium × mantegazzianum
Heracleum sphondylium x mantegazzianum;Heracleum mantegazzianum;Heracleum sphondylium × mantegazzianum
Hyacinthoides x massartiana Geerinck;Hyacinthoides non-scripta;Hyacinthoides × massartiana Geerinck
Hyacinthoides x massartiana Geerinck;Hyacinthoides hispanica;Hyacinthoides × massartiana Geerinck
Hypericum x inodorum Mill.;Hypericum androsaemum;Hypericum × inodorum Mill.
Hypericum x inodorum Mill.;Hypericum hircinum;Hypericum × inodorum Mill.
Ilex x altaclerensis (hort. ex Loudon) Dallim.;Ilex aquifolium;Ilex × altaclerensis (hort. ex Loudon) Dallim.
Ilex x altaclerensis (hort. ex Loudon) Dallim.;Ilex perado;Ilex × altaclerensis (hort. ex Loudon) Dallim.
Iris x hollandica hort. nom. nud.;Iris filifolia;Iris × hollandica hort. nom. nud.
Iris x hollandica hort. nom. nud.;Iris tingitana;Iris × hollandica hort. nom. nud.
Iris x robusta E.S. Anderson;Iris versicolor;Iris × robusta E.S. Anderson
Iris x robusta E.S. Anderson;Iris virginica;Iris × robusta E.S. Anderson
Juncus inflexus x pallidus;Juncus inflexus;Juncus inflexus × pallidus
Juncus inflexus x pallidus;Juncus pallidus;Juncus inflexus × pallidus
Laburnum x watereri (Wettst.) Dippel;Laburnum anagyroides;Laburnum × watereri (Wettst.) Dippel
Laburnum x watereri (Wettst.) Dippel;Laburnum alpinum;Laburnum × watereri (Wettst.) Dippel
Larix x marschlinsii Coaz;Larix decidua;Larix × marschlinsii Coaz
Larix x marschlinsii Coaz;Larix kaempferi;Larix × marschlinsii Coaz
Lavandula x intermedia Loisel.;Lavandula angustifolia;Lavandula × intermedia Loisel.
Lavandula x intermedia Loisel.;Lavandula latifolia;Lavandula × intermedia Loisel.
Leucanthemum x superbum;Leucanthemum lacustre;Leucanthemum × superbum
Leucanthemum x superbum;Leucanthemum maximum;Leucanthemum × superbum
Linaria x cornubiensis Druce;Linaria repens;Linaria × cornubiensis Druce
Linaria x cornubiensis Druce;Linaria supina;Linaria × cornubiensis Druce
Linaria x dominii Druce;Linaria purpurea;Linaria × dominii Druce
Linaria x dominii Druce;Linaria repens;Linaria × dominii Druce
Linaria x sepium J.G. Allman;Linaria vulgaris;Linaria × sepium J.G. Allman
Linaria x sepium J.G. Allman;Linaria repens;Linaria × sepium J.G. Allman
Lolium x boucheanum Kunth;Lolium perenne;Lolium × boucheanum Kunth
Lolium x boucheanum Kunth;Lolium multiflorum;Lolium × boucheanum Kunth
Lonicera x italica Schmidt ex Tausch;Lonicera caprifolium;Lonicera × italica Schmidt ex Tausch
Lonicera x italica Schmidt ex Tausch;Lonicera etrusca;Lonicera × italica Schmidt ex Tausch
Lupinus arboreus x nootkatensis x polyphyllus;Lupinus arboreus;Lupinus arboreus × nootkatensis × polyphyllus
Lupinus arboreus x nootkatensis x polyphyllus;Lupinus nootkatensis;Lupinus arboreus × nootkatensis × polyphyllus
Lupinus arboreus x nootkatensis x polyphyllus;Lupinus polyphyllus;Lupinus arboreus × nootkatensis × polyphyllus
Lupinus x pseudopolyphyllus C.P. Sm.;Lupinus polyphyllus;Lupinus × pseudopolyphyllus C.P. Sm.
Lupinus x pseudopolyphyllus C.P. Sm.;Lupinus nootkatensis;Lupinus × pseudopolyphyllus C.P. Sm.
Lupinus x regalis Bergmans;Lupinus arboreus;Lupinus × regalis Bergmans
Lupinus x regalis Bergmans;Lupinus polyphyllus;Lupinus × regalis Bergmans
Macleaya x kewensis Turrill;Macleaya cordata;Macleaya × kewensis Turrill
Macleaya x kewensis Turrill;Macleaya microcarpa;Macleaya × kewensis Turrill
