id;verbatim;parent;parent_taxonID;edited
urn:lsid:ipni.org:names:77093653-1;Achimenes × gigantea (Planch.) Linden;NA;NA;Achimenes × gigantea (Planch.) Linden
urn:lsid:ipni.org:names:77093666-1;Polystichum × pseudo-ovatopaleaceum Akasawa;Polystichum ovatopaleaceum (Kodama) Sa.Kurata;urn:lsid:ipni.org:names:17451270-1;Polystichum × pseudo-ovatopaleaceum Akasawa
urn:lsid:ipni.org:names:77093666-1;Polystichum × pseudo-ovatopaleaceum Akasawa;Polystichum tagawanum Sa.Kurata;urn:lsid:ipni.org:names:17414640-1;Polystichum × pseudo-ovatopaleaceum Akasawa
urn:lsid:ipni.org:names:77093667-1;Dryopteris × kouzaii Akasawa;Dryopteris dickinsii (Franch. & Sav.) C.Chr.;urn:lsid:ipni.org:names:17094350-1;Dryopteris × kouzaii Akasawa
urn:lsid:ipni.org:names:77093667-1;Dryopteris × kouzaii Akasawa;Dryopteris handeliana C.Chr.;urn:lsid:ipni.org:names:17390950-1;Dryopteris × kouzaii Akasawa
urn:lsid:ipni.org:names:77093674-1;Narcissus × alentejanus Fern.Casas;Narcissus serotinus L.;urn:lsid:ipni.org:names:66213-1;Narcissus × alentejanus Fern.Casas
urn:lsid:ipni.org:names:77093674-1;Narcissus × alentejanus Fern.Casas;Narcissus cavanillesii Barra & G.López;urn:lsid:ipni.org:names:907681-1;Narcissus × alentejanus Fern.Casas
urn:lsid:ipni.org:names:77093833-1;× Rhodoxis hybrida B.Mathew;Hypoxis parvula Baker;urn:lsid:ipni.org:names:65515-1;× Rhodoxis hybrida B.Mathew
urn:lsid:ipni.org:names:77093833-1;× Rhodoxis hybrida B.Mathew;Rhodohypoxis baurii (Baker) Nel;urn:lsid:ipni.org:names:66706-1;× Rhodoxis hybrida B.Mathew
urn:lsid:ipni.org:names:77093873-1;Sorbus × liljeforsii T.C.G.Rich;Sorbus aucuparia L.;urn:lsid:ipni.org:names:741641-1;Sorbus × liljeforsii T.C.G.Rich
urn:lsid:ipni.org:names:77093873-1;Sorbus × liljeforsii T.C.G.Rich;Sorbus intermedia (Ehrh.) Pers.;urn:lsid:ipni.org:names:741793-1;Sorbus × liljeforsii T.C.G.Rich
urn:lsid:ipni.org:names:77094034-1;Narcissus × perangustus Fern.Casas;NA;NA;Narcissus × perangustus Fern.Casas
urn:lsid:ipni.org:names:77094204-1;Genista × altoportillensis Egido & Puente García;Genista scorpius DC.;urn:lsid:ipni.org:names:496341-1;Genista × altoportillensis Egido & Puente García
urn:lsid:ipni.org:names:77094204-1;Genista × altoportillensis Egido & Puente García;Genista hystrix Lange;urn:lsid:ipni.org:names:496103-1;Genista × altoportillensis Egido & Puente García
urn:lsid:ipni.org:names:77094214-1;Quercus × coscojosuberiformis Baonza;Quercus coccifera L.;urn:lsid:ipni.org:names:295963-1;Quercus × coscojosuberiformis Baonza
urn:lsid:ipni.org:names:77094214-1;Quercus × coscojosuberiformis Baonza;Quercus suber L.;urn:lsid:ipni.org:names:296785-1;Quercus × coscojosuberiformis Baonza
urn:lsid:ipni.org:names:77094216-1;Anisantha × granatensis (A.Camus) Valdés;NA;NA;Anisantha × granatensis (A.Camus) Valdés
urn:lsid:ipni.org:names:77094383-1;Disa × vogelpoelii (H.P.Linder) Bytebier;NA;NA;Disa × vogelpoelii (H.P.Linder) Bytebier
urn:lsid:ipni.org:names:77094420-1;Cupressus × notabilis (A.F.Mitch.) Rushforth;NA;NA;Cupressus × notabilis (A.F.Mitch.) Rushforth
urn:lsid:ipni.org:names:77094421-1;Cupressus × ovensii (A.F.Mitch.) Rushforth;NA;NA;Cupressus × ovensii (A.F.Mitch.) Rushforth
urn:lsid:ipni.org:names:77094423-1;Senecio × helwingii Beger ex Hegi;Senecio vulgaris L.;urn:lsid:ipni.org:names:248251-1;Senecio × helwingii Beger ex Hegi
