verbatim;parent;edited
Atriplex ×neomexicana;Atriplex confertifolia;Atriplex × neomexicana
Actaea ×ludovici;Actaea rubra;Actaea × ludovici
Dombeya cayeuxii;Dombeya burgessiae;Dombeya cayeuxii
Populus ×beijingensis;Populus cathayana;Populus × beijingensis
Hibiscadelphus ×puakuahiwi;Hibiscadelphus giffardianus;Hibiscadelphus × puakuahiwi
Acalypha ×koraensis;Acalypha indica;Acalypha × koraensis
Petunia ×atkinsiana;Petunia axillaris;Petunia × atkinsiana
Rosa × micrugosa;Rosa roxburghii;Rosa × micrugosa
Cistus ledon;Cistus laurifolius;Cistus ledon
Cistus cyprius;Cistus laurifolius;Cistus cyprius
Cistus sammonsii;Cistus laurifolius;Cistus sammonsii
Cistus bornetianus;Cistus laurifolius;Cistus bornetianus
Cistus hetieri;Cistus laurifolius;Cistus hetieri
Cistus ×argenteus;Cistus laurifolius;Cistus × argenteus
Cistus ×dubius;Cistus laurifolius;Cistus × dubius
Cistus ×oblongifolius;Cistus laurifolius;Cistus × oblongifolius
Cistus ×pagei;Cistus laurifolius;Cistus × pagei
Salix ×simulatrix;Salix arbuscula;Salix × simulatrix
Dracula ×radiosyndactyla;Dracula radiosa;Dracula × radiosyndactyla
Dracula ×radiosyndactyla;Dracula syndactyla;Dracula × radiosyndactyla
Elymus pinalenoensis;Elymus elymoides;Elymus pinalenoensis
Guzmania amoena;Guzmania longipetala;Guzmania amoena
Cistus ×incanus;Cistus crispus;Cistus × incanus
Cistus ultraviolaceus;Cistus crispus;Cistus ultraviolaceus
Cistus gardianus;Cistus crispus;Cistus gardianus
Cistus fernandesiae;Cistus crispus;Cistus fernandesiae
Cistus ×crispatus;Cistus crispus;Cistus × crispatus
Cistus heterocalyx;Cistus libanotis;Cistus heterocalyx
Cistus ×lepidocalyx;Cistus libanotis;Cistus × lepidocalyx
Cistus ×glaucifolius;Cistus osbeckiifolius;Cistus × glaucifolius
Cistus ×penarcleusensis;Cistus osbeckiifolius;Cistus × penarcleusensis
Isoëtes michinokuana;Isoëtes japonica;Isoëtes michinokuana
Isoëtes carltaylori;Isoetes engelmannii;Isoëtes carltaylori
Anacamptis ×gennarii;Anacamptis papilionacea;Anacamptis × gennarii
Platanthera ×correllii;Platanthera stricta;Platanthera × correllii
Oxalis × vanaelstii;Oxalis dillenii;Oxalis × vanaelstii
Rumex ×cacozelus;Rumex stenophyllus;Rumex × cacozelus
Salix ×tsugaluensis;Salix vulpina;Salix × tsugaluensis
Saxifraga ×fontqueri;Saxifraga globulifera;Saxifraga × fontqueri
Hylotelephium furusei;Hylotelephium erythrostictum;Hylotelephium furusei
Begonia ×buimontana;Begonia taiwaniana;Begonia × buimontana
Cistus matritensis;Cistus clusii;Cistus matritensis
Cistus aguilari;Cistus populifolius;Cistus aguilari
Cistus laxus;Cistus populifolius;Cistus laxus
Cistus nigricans;Cistus populifolius;Cistus nigricans
Cistus hybridus;Cistus populifolius;Cistus hybridus
Cistus clausonii;Cistus heterophyllus;Cistus clausonii
Cistus ultraviolaceus;Cistus heterophyllus;Cistus ultraviolaceus
Cistus strigosus;Cistus heterophyllus;Cistus strigosus
Cistus reghaiensis;Cistus heterophyllus;Cistus reghaiensis
Cistus olivaceus;Cistus heterophyllus;Cistus olivaceus
Cistus curvativus;Cistus heterophyllus;Cistus curvativus
Cistus ×escartianus;Cistus heterophyllus;Cistus × escartianus
Cistus ×tephreus;Cistus heterophyllus;Cistus × tephreus
Convolvulus × despreauxii;Convolvulus scoparius;Convolvulus × despreauxii
Helianthus ×multiflorus;Helianthus decapetalus;Helianthus × multiflorus
Acalypha ×koraensis;Acalypha crenata;Acalypha × koraensis
Disa ×vogelpoelii;Disa ferruginea;Disa × vogelpoelii
