key;accepted;kingdom;scientificName;speciesKey;taxonID
101255928;NA;Plantae;Dactylorhiza x Gymnadenia Dactylorhiza majalis ssp. praetermissa x Gymnadenia conopsea NULL;NA;NA
101255929;NA;Plantae;Aceras x Orchis Aceras anthropophorum x Orchis purpurea NULL;NA;NA
101255930;NA;Plantae;Aceras x Orchis Aceras anthropophorum x Orchis simia NULL;NA;NA
101255931;NA;Plantae;Aceras x Orchis Aceras anthropophorum x Orchis militaris NULL;NA;NA
101255932;NA;Plantae;Ophrys lutea x fusca NULL;NA;NA
101255933;NA;Plantae;Ophrys scolopax x fuciflora NULL;NA;NA
101255934;NA;Plantae;Calystegia silvatica x pulchra NULL;NA;NA
101255935;NA;Plantae;Ophrys sphegodes x bertolonii NULL;NA;NA
101255936;NA;Plantae;Armeria gaditana x macrophylla NULL;NA;NA
101255937;NA;Plantae;Euphrasia alpina x stricta NULL;NA;NA
101255938;NA;Plantae;Euphrasia salisburgensis x stricta NULL;NA;NA
101255939;NA;Plantae;Euphrasia micrantha x stricta NULL;NA;NA
101255940;NA;Plantae;Euphrasia confusa x tetraquetra NULL;NA;NA
101255941;NA;Plantae;Sparganium gramineum x emersum NULL;NA;NA
101255942;NA;Plantae;Euphrasia arctica x stricta NULL;NA;NA
101255943;NA;Plantae;Sparganium gramineum x angustifolium NULL;NA;NA
101255944;NA;Plantae;Euphrasia micrantha x tetraquetra NULL;NA;NA
101255945;NA;Plantae;Armeria filicaulis x splendens ssp. splendens NULL;NA;NA
101255946;NA;Plantae;Armeria maritima x pubigera NULL;NA;NA
101255947;NA;Plantae;Armeria pungens x rouyana NULL;NA;NA
101255948;NA;Plantae;Euphrasia confusa x micrantha NULL;NA;NA
101255949;NA;Plantae;Euphrasia arctica x confusa NULL;NA;NA
101255950;NA;Plantae;Euphrasia dunensis x stricta NULL;NA;NA
101255951;NA;Plantae;Euphrasia confusa x scottica NULL;NA;NA
101255952;NA;Plantae;Veronica anagallis-aquatica x catenata NULL;NA;NA
101255953;NA;Plantae;Euphrasia confusa x nemorosa NULL;NA;NA
101255954;NA;Plantae;Euphrasia nemorosa x stricta NULL;NA;NA
101255955;NA;Plantae;Centaurium erythraea ssp. erythraea x tenuiflorum NULL;NA;NA
101255956;NA;Plantae;Centaurium erythraea ssp. erythraea x pulchellum NULL;NA;NA
101255957;NA;Plantae;Galium cespitosum x pyrenaicum NULL;NA;NA
101255958;NA;Plantae;Centaurium erythraea ssp. erythraea x littorale NULL;NA;NA
101255959;NA;Plantae;Galium asturiocantabricum x marchandii NULL;NA;NA
101255960;NA;Plantae;Galium maritimum x verum NULL;NA;NA
101255961;NA;Plantae;Galium album x polonicum NULL;NA;NA
101255962;NA;Plantae;Galium abaujense x album NULL;NA;NA
101255963;NA;Plantae;Viola collina x odorata NULL;NA;NA
101255964;NA;Plantae;Viola alba x hirta NULL;NA;NA
101255965;NA;Plantae;Viola collina x hirta NULL;NA;NA
101255966;NA;Plantae;Viola alba x odorata NULL;NA;NA
101255967;NA;Plantae;Danthonia decumbens x alpina NULL;NA;NA
101255968;NA;Plantae;Crepis alpestris x conyzifolia NULL;NA;NA
101255969;NA;Plantae;Crepis alpestris x pyrenaica NULL;NA;NA
101255970;NA;Plantae;Carduus argemone ssp. argemone x carlinifolius NULL;NA;NA
101255971;NA;Plantae;Achillea macrophylla x ptarmica NULL;NA;NA
101255972;NA;Plantae;Achillea impatiens x ptarmica NULL;NA;NA
101255973;NA;Plantae;Aster dumosus x novi-belgii NULL;NA;NA
101255974;NA;Plantae;Dactylorhiza majalis ssp. praetermissa x fuchsii NULL;NA;NA
101255975;NA;Plantae;Coeloglossum x Dactylorhiza Coeloglossum viride x Dactylorhiza majalis ssp. purpurella NULL;NA;NA
101255976;NA;Plantae;Dactylorhiza x Gymnadenia Dactylorhiza majalis ssp. purpurella x Gymnadenia conopsea NULL;NA;NA
101255977;NA;Plantae;Coeloglossum x Dactylorhiza Coeloglossum viride x Dactylorhiza majalis ssp. praetermissa NULL;NA;NA
101255978;NA;Plantae;Agrostis capillaris x gigantea NULL;NA;NA
101255979;NA;Plantae;Agrostis capillaris x stolonifera NULL;NA;NA
101255980;NA;Plantae;x Ammocalamagrostis arenaria x arundinacea NULL;NA;NA
101255981;NA;Plantae;Leymus x Elymus Elymus repens x Leymus arenarius NULL;NA;NA
101255982;NA;Plantae;Koeleria vallesiana ssp. vallesiana x macrantha NULL;NA;NA
101255983;NA;Plantae;Dactylorhiza traunsteineri x fuchsii NULL;NA;NA
101255984;NA;Plantae;Dactylorhiza traunsteineri x majalis ssp. praetermissa NULL;NA;NA
101255985;NA;Plantae;Dactylorhiza traunsteineri x incarnata NULL;NA;NA
101255986;NA;Plantae;Dactylorhiza fuchsii x maculata ssp. elodes NULL;NA;NA
101255987;NA;Plantae;Dactylorhiza ssp. majalis ssp. praetermissa x maculata ssp. elodes NULL;NA;NA
101255988;NA;Plantae;Dactylorhiza majalis ssp. purpurella x fuchsii NULL;NA;NA
101255989;NA;Plantae;Dactylorhiza majalis ssp. purpurella x incarnata NULL;NA;NA
101255990;NA;Plantae;Leymus x Elymus Elymus farctus ssp. boreali-atlanticus x Leymus arenarius NULL;NA;NA
101255991;NA;Plantae;Elymus farctus ssp. farctus x repens NULL;NA;NA
101255992;NA;Plantae;Elymus farctus ssp. farctus x pycnanthus NULL;NA;NA
101322291;NA;Plantae;Petasites frigidus var. x vitifolius;NA;NA
103037254;NA;Viridiplantae;Bambusa x Dendrocalamus;NA;NA
103043492;NA;Viridiplantae;Elymus x Leymus;NA;NA
103043494;NA;Viridiplantae;Agropyron x Elymus;NA;NA
103043496;NA;Viridiplantae;Elymus x Kengyilia;NA;NA
103044640;NA;Viridiplantae;Triticum x Lophopyrum;NA;NA
103044643;NA;Viridiplantae;Thinopyrum x Triticum;NA;NA
103045155;NA;Viridiplantae;Aegilops x Secale;NA;NA
103048855;NA;Viridiplantae;Saccharum x Sorghum;NA;NA
103075495;NA;Viridiplantae;Phalaenopsis x Doritaenopsis;NA;NA
103075497;NA;Viridiplantae;Arachnis x Vanda;NA;NA
103084095;NA;Viridiplantae;Aloe x Aloiampelos;NA;NA
103090739;NA;Viridiplantae;Bornmuellera x Leptoplax;NA;NA
103093092;NA;Viridiplantae;Brassica x Raphanus;NA;NA
103109956;NA;Viridiplantae;Kunzea x Leptospermum;NA;NA
103125923;NA;Viridiplantae;Cucumis x Cucurbita;NA;NA
103324240;NA;Viridiplantae;Leucogenes x Raoulia;NA;NA
103324244;NA;Viridiplantae;Argyrotegium x Leucogenes;NA;NA
103362787;NA;Viridiplantae;Eremanthus x Piptolepis;NA;NA
103362791;NA;Viridiplantae;Eremanthus x Paralychnophora;NA;NA
108890789;NA;NA;Apolemichthys trimaculatus × xanthurus sec.  Pyle & Randall 1994;NA;NA
108890790;NA;NA;Apolemichthys trimaculatus × xanthurus;NA;NA
108890797;NA;NA;Centropyge bispinosus × shepardi sec.  Pyle & Randall 1994;NA;NA
108890798;NA;NA;Centropyge bispinosus × shepardi;NA;NA
108890801;NA;NA;Centropyge eibli × flavissimus sec.  Pyle & Randall 1994;NA;NA
108890802;NA;NA;Centropyge eibli × flavissimus;NA;NA
108890803;NA;NA;Centropyge eibli × vrolikii sec.  Pyle & Randall 1994;NA;NA
